Row Labels,ALLSTON VILLAGE,BOWDOIN/GENEVA,BRIGHTON,JP CENTRE/SOUTH,EAST BOSTON,EGLESTON SQUARE,FIELDS CORNER,FOUR CORNERS,GREATER ASHMONT,GREATER GROVE HALL,HYDE PARK,MATTAPAN SQUARE,MISSION HILL,ROXBURY,ROSLINDALE VILLAGE,THREE SQUARES,UPHAMS CORNER,WASHINGTON GATEWAY,WEST ROXBURY,Grand Total
12/13/2020,-36%,-9%,-34%,-27%,-8%,-23%,6%,-67%,-25%,6%,-10%,-6%,-25%,-12%,-20%,-14%,-10%,-25%,-25%,-22%
12/20/2020,-24%,-1%,-24%,-10%,0%,-4%,19%,-49%,-16%,18%,39%,2%,-16%,32%,3%,0%,18%,-20%,-13%,-7%
12/27/2020,-28%,-7%,-29%,-28%,4%,-25%,3%,-52%,-12%,27%,18%,13%,-34%,7%,7%,-6%,-6%,-20%,-20%,-14%
1/3/2021,-16%,-3%,-20%,-5%,16%,-12%,18%,-41%,6%,44%,13%,10%,9%,21%,19%,9%,16%,-13%,-28%,-2%
1/10/2021,-20%,18%,-25%,-16%,14%,-10%,24%,-45%,-4%,51%,14%,0%,17%,11%,9%,5%,4%,-18%,-15%,-3%
1/17/2021,-15%,5%,-17%,-8%,12%,-12%,44%,-40%,6%,73%,40%,17%,35%,19%,28%,-4%,7%,-15%,-8%,2%
1/24/2021,-22%,-11%,-18%,-22%,9%,-24%,14%,-46%,-7%,36%,13%,-5%,21%,25%,15%,-13%,3%,-23%,-17%,-8%
1/31/2021,-18%,-7%,-18%,-21%,19%,-11%,24%,-41%,-11%,47%,25%,17%,35%,8%,15%,4%,6%,-13%,-16%,-1%
2/7/2021,-21%,-6%,-25%,-20%,7%,-14%,22%,-47%,-10%,27%,18%,8%,29%,9%,22%,-5%,-4%,-21%,-24%,-7%
2/14/2021,-24%,-17%,-21%,-23%,13%,-15%,13%,-44%,-7%,39%,12%,1%,32%,9%,1%,-13%,-7%,-23%,-23%,-10%
2/21/2021,-15%,-20%,-13%,-22%,16%,-12%,13%,-45%,-8%,32%,35%,7%,27%,11%,13%,-14%,-6%,-18%,-11%,-6%
2/28/2021,-19%,-10%,-16%,-21%,19%,-8%,21%,-57%,7%,37%,44%,10%,23%,15%,18%,-23%,-2%,-20%,-16%,-7%
3/7/2021,-6%,6%,-10%,-13%,19%,-7%,23%,-56%,-9%,40%,39%,13%,-4%,1%,19%,-22%,2%,-19%,-10%,-5%
3/14/2021,-15%,10%,-11%,-21%,20%,-9%,42%,-49%,4%,51%,36%,18%,2%,0%,28%,-27%,9%,-22%,-11%,-4%
3/21/2021,-10%,3%,-8%,-10%,26%,-4%,38%,-50%,4%,55%,49%,35%,3%,9%,20%,-14%,6%,-14%,-5%,0%
3/28/2021,-13%,-5%,-21%,-20%,16%,-16%,35%,-47%,-6%,27%,26%,32%,0%,-9%,15%,-18%,10%,-19%,-15%,-7%
4/4/2021,-11%,5%,-22%,-16%,20%,2%,28%,-55%,6%,84%,39%,31%,17%,10%,10%,-5%,8%,-19%,-19%,-3%
4/11/2021,-29%,-28%,-43%,-32%,0%,-36%,7%,-53%,-29%,46%,16%,-5%,16%,-18%,2%,-14%,-3%,-36%,-32%,-19%
4/18/2021,-14%,2%,-18%,-14%,15%,-4%,20%,-55%,7%,55%,13%,12%,3%,-5%,22%,5%,3%,-30%,-15%,-5%
4/25/2021,-13%,4%,-25%,0%,18%,-6%,26%,-58%,5%,37%,51%,13%,17%,-18%,28%,19%,10%,-25%,-15%,-3%
5/2/2021,-9%,12%,-17%,5%,15%,-15%,40%,-62%,-11%,51%,40%,15%,27%,-10%,22%,34%,11%,-19%,-14%,0%
5/9/2021,-4%,10%,-16%,1%,17%,-13%,43%,-55%,7%,45%,29%,16%,25%,10%,28%,17%,18%,-19%,-3%,3%
5/16/2021,-4%,5%,-14%,-8%,12%,-1%,28%,-63%,3%,39%,38%,25%,35%,-14%,31%,23%,21%,-19%,-3%,1%
5/23/2021,-16%,-1%,-26%,-3%,0%,-14%,9%,-70%,-3%,18%,23%,13%,14%,-27%,12%,20%,-5%,-22%,-20%,-10%
5/30/2021,-11%,-15%,-17%,-10%,6%,-23%,12%,-71%,-6%,23%,10%,-8%,13%,-27%,10%,17%,-2%,-24%,-19%,-12%
6/6/2021,-1%,18%,-16%,0%,14%,-5%,29%,-49%,2%,44%,32%,22%,19%,7%,35%,28%,20%,-15%,-2%,5%
6/13/2021,1%,11%,-13%,8%,12%,-4%,39%,-52%,4%,45%,19%,30%,28%,5%,31%,38%,17%,-7%,-4%,6%
6/20/2021,0%,26%,-8%,3%,13%,1%,26%,-54%,-1%,54%,31%,37%,5%,10%,13%,37%,17%,-10%,-5%,5%
6/27/2021,7%,22%,2%,15%,15%,-8%,15%,-51%,23%,40%,27%,8%,27%,0%,43%,31%,2%,5%,1%,8%
7/4/2021,-3%,16%,-14%,-13%,15%,0%,21%,-60%,-7%,38%,17%,18%,4%,24%,6%,13%,7%,-14%,-10%,-3%
7/11/2021,0%,35%,-3%,8%,14%,-1%,30%,-63%,13%,33%,13%,27%,-6%,9%,12%,4%,10%,-5%,9%,1%
7/18/2021,-6%,38%,1%,10%,19%,9%,35%,-54%,3%,43%,28%,19%,-5%,8%,26%,-5%,10%,-5%,2%,2%
7/25/2021,-2%,26%,-12%,15%,14%,-11%,29%,-42%,-9%,35%,29%,16%,0%,-7%,21%,7%,2%,-2%,-4%,2%
8/1/2021,1%,9%,-5%,15%,14%,0%,29%,-51%,0%,39%,27%,14%,2%,21%,20%,13%,12%,-1%,12%,5%
8/8/2021,0%,31%,-11%,19%,15%,-3%,25%,-42%,0%,42%,27%,16%,-16%,1%,7%,11%,16%,-12%,10%,3%
8/15/2021,4%,10%,-15%,7%,14%,-6%,23%,-46%,4%,55%,43%,17%,-4%,21%,14%,7%,10%,-5%,16%,4%
8/22/2021,-8%,8%,-15%,-7%,26%,-4%,10%,-49%,2%,42%,26%,20%,-7%,-14%,13%,8%,0%,-10%,16%,-1%
8/29/2021,-4%,23%,-13%,15%,22%,3%,41%,-39%,8%,29%,38%,20%,39%,16%,16%,22%,13%,-5%,8%,9%
9/5/2021,-6%,37%,-18%,0%,24%,-5%,48%,-45%,0%,54%,17%,15%,25%,19%,12%,25%,10%,-9%,21%,8%
9/12/2021,-6%,37%,-18%,7%,24%,0%,38%,-46%,9%,56%,30%,8%,25%,26%,14%,25%,0%,-5%,22%,7%
9/19/2021,-10%,29%,-20%,21%,24%,2%,41%,-31%,14%,44%,33%,6%,26%,6%,18%,9%,-1%,-6%,21%,8%
9/26/2021,-14%,10%,-11%,18%,27%,-6%,17%,-55%,2%,27%,40%,12%,36%,-15%,12%,20%,-7%,-7%,20%,2%
10/3/2021,-13%,16%,-14%,7%,35%,-3%,26%,-39%,9%,34%,44%,17%,37%,8%,16%,17%,-11%,-6%,11%,5%
10/10/2021,-11%,19%,-17%,14%,26%,-9%,28%,-50%,10%,41%,32%,19%,21%,4%,17%,9%,-6%,-3%,15%,3%
10/17/2021,-9%,24%,-4%,15%,24%,-2%,19%,-45%,2%,37%,26%,32%,33%,-10%,14%,8%,-2%,-12%,13%,3%
10/24/2021,-12%,20%,-14%,5%,24%,-4%,37%,-38%,6%,33%,39%,19%,26%,-14%,7%,30%,-2%,-3%,15%,6%
10/31/2021,-5%,18%,-14%,6%,32%,-3%,30%,-19%,-11%,37%,22%,23%,36%,-2%,13%,18%,2%,-12%,12%,8%
11/7/2021,-6%,11%,-24%,7%,27%,-17%,28%,-26%,2%,34%,28%,25%,34%,20%,17%,12%,7%,-2%,13%,7%
11/14/2021,-12%,33%,-16%,3%,35%,-2%,25%,-22%,13%,39%,35%,21%,47%,21%,21%,16%,21%,-4%,18%,12%
11/21/2021,-8%,7%,-17%,4%,34%,-1%,33%,-24%,-16%,36%,29%,19%,25%,1%,15%,29%,24%,-9%,-7%,7%
11/28/2021,-1%,33%,-15%,12%,54%,0%,33%,-24%,22%,35%,77%,21%,38%,20%,10%,38%,16%,-3%,11%,16%
12/5/2021,-5%,18%,-21%,4%,38%,-5%,16%,-36%,26%,38%,45%,16%,28%,1%,16%,25%,12%,-7%,8%,8%
12/12/2021,-7%,29%,-19%,5%,46%,12%,28%,-29%,15%,39%,29%,29%,33%,28%,9%,24%,9%,7%,11%,12%
12/19/2021,4%,16%,-16%,14%,41%,25%,22%,-11%,9%,38%,63%,39%,32%,43%,12%,20%,22%,0%,4%,15%
12/26/2021,-5%,15%,-23%,-13%,43%,-19%,14%,0%,3%,38%,22%,9%,10%,4%,8%,20%,10%,0%,6%,7%
1/2/2022,-5%,11%,-18%,6%,63%,-4%,30%,-2%,1%,20%,21%,14%,44%,18%,15%,26%,16%,-1%,7%,13%
1/9/2022,0%,25%,-18%,7%,72%,6%,42%,-6%,15%,45%,41%,16%,59%,10%,13%,21%,9%,-1%,17%,17%
1/16/2022,16%,31%,-8%,11%,91%,8%,66%,2%,16%,69%,43%,31%,82%,41%,39%,16%,28%,8%,39%,30%
1/23/2022,-10%,-3%,-27%,-17%,43%,-21%,14%,-15%,-10%,14%,23%,0%,37%,-1%,0%,-15%,-7%,-16%,-16%,-5%
1/30/2022,-2%,14%,-21%,5%,62%,-1%,40%,2%,2%,28%,37%,35%,65%,15%,25%,16%,9%,2%,9%,15%
2/6/2022,9%,20%,-19%,7%,71%,13%,48%,-3%,18%,37%,54%,29%,67%,46%,32%,22%,14%,4%,12%,21%
2/13/2022,8%,14%,-3%,12%,71%,10%,47%,8%,22%,51%,44%,29%,83%,33%,30%,11%,12%,3%,14%,22%
2/20/2022,10%,3%,-11%,2%,67%,-5%,25%,2%,-4%,25%,26%,8%,61%,17%,19%,-2%,7%,1%,9%,12%
2/27/2022,15%,29%,-8%,19%,79%,2%,61%,-3%,26%,45%,63%,24%,87%,34%,29%,13%,20%,7%,18%,25%
