Row Labels,ALLSTON VILLAGE,BOWDOIN/GENEVA,BRIGHTON,JP CENTRE/SOUTH,EAST BOSTON,EGLESTON SQUARE,FIELDS CORNER,FOUR CORNERS,GREATER ASHMONT,GREATER GROVE HALL,HYDE PARK,MATTAPAN SQUARE,MISSION HILL,ROXBURY,ROSLINDALE VILLAGE,THREE SQUARES,UPHAMS CORNER,WASHINGTON GATEWAY,WEST ROXBURY,Grand Total
1/5/2020,9%,3%,3%,18%,17%,15%,3%,55%,4%,11%,-5%,3%,54%,5%,24%,11%,7%,8%,-13%,11%
1/12/2020,5%,9%,10%,11%,12%,14%,3%,44%,7%,6%,4%,-9%,32%,5%,10%,9%,-4%,0%,-1%,8%
1/19/2020,14%,1%,10%,14%,27%,17%,21%,78%,25%,46%,25%,0%,77%,18%,36%,12%,14%,18%,5%,22%
1/26/2020,8%,-11%,18%,-2%,14%,8%,-5%,49%,-4%,21%,9%,-4%,20%,24%,21%,-11%,3%,12%,-8%,6%
2/2/2020,9%,-9%,10%,5%,16%,13%,5%,63%,-7%,16%,-1%,13%,30%,18%,16%,-2%,8%,12%,-12%,9%
2/9/2020,3%,-14%,2%,-2%,11%,5%,-9%,17%,6%,10%,10%,2%,43%,15%,19%,-3%,3%,4%,-9%,4%
2/16/2020,11%,-17%,11%,0%,17%,7%,0%,0%,-2%,16%,-1%,6%,41%,13%,8%,-1%,11%,6%,-7%,6%
2/23/2020,6%,-17%,7%,6%,19%,1%,-2%,41%,-12%,6%,5%,-3%,35%,20%,7%,-16%,5%,11%,-6%,5%
3/1/2020,23%,14%,10%,9%,32%,10%,33%,24%,15%,35%,21%,22%,73%,37%,17%,11%,15%,19%,3%,20%
3/8/2020,31%,38%,8%,13%,33%,4%,29%,-18%,5%,44%,40%,31%,38%,40%,26%,18%,7%,19%,22%,21%
3/15/2020,-17%,16%,-29%,-20%,-8%,-23%,3%,-58%,-13%,10%,21%,24%,-12%,-7%,19%,-17%,1%,-20%,-1%,-10%
3/22/2020,-46%,-17%,-42%,-47%,-31%,-41%,-32%,-74%,-37%,-19%,9%,-2%,-36%,-30%,-14%,-26%,-28%,-44%,-20%,-34%
3/29/2020,-48%,-22%,-60%,-58%,-29%,-47%,-40%,-79%,-44%,-24%,-9%,1%,-34%,-34%,-14%,-29%,-26%,-42%,-30%,-38%
4/5/2020,-51%,-30%,-69%,-55%,-25%,-37%,-46%,-82%,-34%,-8%,7%,5%,-21%,-39%,-12%,-9%,-26%,-47%,-29%,-36%
4/12/2020,-51%,-26%,-56%,-56%,-30%,-42%,-43%,-76%,-42%,-9%,-6%,-6%,-7%,-32%,-16%,-11%,-18%,-53%,-34%,-36%
4/19/2020,-46%,-3%,-63%,-47%,-25%,-36%,-30%,-75%,-18%,1%,6%,1%,-14%,-13%,13%,9%,-6%,-46%,-15%,-25%
4/26/2020,-46%,0%,-61%,-39%,-18%,-22%,-21%,-77%,-7%,-4%,42%,-3%,-10%,-30%,18%,11%,-13%,-43%,-24%,-25%
5/3/2020,-50%,-9%,-44%,-39%,-29%,-19%,-15%,-81%,-15%,21%,44%,-1%,-9%,-23%,20%,23%,-14%,-45%,-25%,-24%
5/10/2020,-49%,0%,-59%,-35%,-23%,-26%,-8%,-74%,-24%,26%,26%,-1%,-8%,-7%,12%,12%,-10%,-44%,-19%,-23%
5/17/2020,-41%,11%,-53%,-41%,-26%,-22%,3%,-77%,-3%,15%,40%,5%,1%,-10%,20%,12%,-2%,-44%,-16%,-21%
5/24/2020,-38%,13%,-37%,-34%,-25%,-20%,-7%,-78%,-23%,15%,39%,15%,1%,-18%,15%,22%,-1%,-42%,-22%,-20%
5/31/2020,-42%,-6%,-36%,-35%,-29%,-25%,-18%,-78%,-23%,15%,22%,7%,-23%,-26%,18%,5%,-11%,-44%,-33%,-27%
6/7/2020,-31%,-1%,-32%,-31%,-22%,-30%,-10%,-72%,-27%,23%,21%,12%,-26%,-18%,6%,-9%,11%,-41%,-25%,-22%
6/14/2020,-26%,-3%,-29%,-19%,-14%,-21%,-1%,-74%,-13%,34%,12%,16%,-21%,-6%,10%,4%,23%,-30%,-21%,-15%
6/21/2020,-29%,-11%,-28%,-25%,-10%,-21%,0%,-66%,-32%,43%,21%,28%,-19%,-12%,10%,0%,23%,-33%,-25%,-15%
6/28/2020,-18%,-9%,-20%,-13%,0%,-23%,-8%,-66%,-13%,30%,8%,-3%,17%,-6%,25%,20%,19%,-20%,-11%,-7%
7/5/2020,-12%,-7%,-22%,-20%,1%,-1%,-14%,-73%,-25%,51%,17%,15%,1%,2%,3%,10%,18%,-25%,-14%,-10%
7/12/2020,-15%,7%,-26%,-19%,-5%,-20%,1%,-76%,-23%,38%,11%,17%,-16%,-1%,8%,4%,27%,-23%,-14%,-11%
7/19/2020,-26%,3%,-25%,-19%,0%,-17%,3%,-74%,-7%,47%,10%,33%,-14%,7%,7%,-5%,31%,-24%,-15%,-12%
7/26/2020,-16%,7%,-26%,-14%,3%,-25%,4%,-66%,-6%,48%,28%,22%,-4%,10%,14%,8%,14%,-16%,-12%,-6%
8/2/2020,-16%,-13%,-28%,-8%,1%,-8%,0%,-68%,-4%,32%,23%,8%,-9%,12%,8%,13%,15%,-20%,-4%,-8%
8/9/2020,-19%,12%,-27%,-11%,0%,-24%,5%,-73%,-1%,29%,22%,18%,-18%,-3%,3%,3%,19%,-23%,-3%,-10%
8/16/2020,-13%,-4%,-30%,-16%,-3%,-21%,4%,-71%,2%,39%,25%,16%,-6%,7%,8%,-3%,4%,-21%,2%,-10%
8/23/2020,-21%,-4%,-28%,-13%,3%,-31%,-4%,-72%,5%,19%,19%,13%,-13%,-14%,13%,5%,0%,-19%,-1%,-12%
8/30/2020,-11%,-5%,-29%,-5%,0%,-16%,-4%,-66%,-7%,18%,34%,17%,16%,15%,5%,5%,19%,-17%,-9%,-6%
9/6/2020,-20%,5%,-29%,-12%,0%,-27%,-6%,-71%,-12%,29%,16%,12%,-15%,6%,3%,4%,6%,-26%,1%,-12%
9/13/2020,-23%,12%,-24%,-9%,6%,-19%,0%,-70%,-21%,49%,33%,19%,-19%,5%,13%,5%,7%,-20%,-3%,-10%
9/20/2020,-22%,11%,-23%,6%,3%,-12%,-1%,-68%,-21%,42%,33%,6%,-11%,-3%,15%,-3%,15%,-22%,-3%,-8%
9/27/2020,-27%,-10%,-19%,-5%,-2%,-25%,-22%,-72%,-9%,26%,34%,-3%,-6%,-12%,2%,6%,1%,-18%,-8%,-14%
10/4/2020,-25%,1%,-17%,-1%,6%,-21%,5%,-64%,-6%,23%,40%,7%,13%,-7%,9%,6%,-1%,-21%,-5%,-8%
10/11/2020,-29%,-4%,-25%,-11%,0%,-28%,-11%,-73%,-10%,20%,11%,7%,0%,-4%,2%,1%,0%,-28%,-12%,-15%
10/18/2020,-23%,5%,-13%,-3%,1%,-26%,-12%,-74%,-19%,21%,17%,7%,4%,-11%,5%,7%,-3%,-27%,-10%,-13%
10/25/2020,-28%,1%,-21%,-13%,-8%,-27%,6%,-65%,-23%,31%,25%,0%,5%,-9%,-6%,22%,2%,-25%,-10%,-11%
11/1/2020,-20%,-1%,-16%,-14%,5%,-25%,14%,-67%,-12%,28%,14%,2%,3%,-10%,-1%,9%,-8%,-26%,-11%,-11%
11/8/2020,-32%,-17%,-29%,-11%,-13%,-28%,6%,-70%,-22%,23%,8%,4%,-3%,4%,-7%,3%,0%,-24%,-10%,-15%
11/15/2020,-30%,1%,-24%,-28%,-7%,-31%,3%,-65%,-20%,18%,22%,5%,5%,3%,1%,7%,4%,-25%,-12%,-13%
11/22/2020,-34%,-8%,-22%,-21%,-4%,-16%,18%,-56%,-28%,25%,9%,-4%,-4%,-1%,-1%,13%,17%,-28%,-16%,-12%
11/29/2020,-30%,-8%,-23%,-15%,-6%,-15%,5%,-69%,-16%,16%,18%,4%,-7%,-3%,-6%,15%,-1%,-26%,-11%,-13%
12/6/2020,-32%,-10%,-29%,-23%,-15%,-31%,4%,-67%,-21%,10%,13%,0%,-31%,-9%,4%,-11%,-8%,-29%,-15%,-20%
