Week Ending,Percent Change
1/5/2020,0.197524497
1/12/2020,0.39184268
1/19/2020,0.195774648
1/26/2020,0.093994778
2/2/2020,0.274678112
2/9/2020,0.156329114
2/16/2020,0.129605263
2/23/2020,0.159156977
3/1/2020,0.178323882
3/8/2020,0.176541717
3/15/2020,0.017162471
3/22/2020,-0.430751837
3/29/2020,-0.540600667
4/5/2020,-0.527825588
4/12/2020,-0.560581583
4/19/2020,-0.599581809
4/26/2020,-0.570538244
5/3/2020,-0.518716578
5/10/2020,-0.512807109
5/17/2020,-0.529620253
5/24/2020,-0.494992093
5/31/2020,-0.444503452
6/7/2020,-0.512632062
6/14/2020,-0.39635996
6/21/2020,-0.334254144
6/28/2020,-0.414647281
7/5/2020,-0.375832053
7/12/2020,-0.381432896
7/19/2020,-0.351136965
7/26/2020,-0.452657005
8/2/2020,-0.461396209
8/9/2020,-0.425718461
8/16/2020,-0.362549801
8/23/2020,-0.365326633
8/30/2020,-0.414645975
9/6/2020,-0.405513562
9/13/2020,-0.464202153
9/20/2020,-0.464711274
9/27/2020,-0.425146771
10/4/2020,-0.405
10/11/2020,-0.388858843
10/18/2020,-0.418604651
10/25/2020,-0.313097246
11/1/2020,-0.408261803
11/8/2020,-0.34923339
11/15/2020,-0.442088091
11/22/2020,-0.478500551
11/29/2020,-0.491024899
12/6/2020,-0.459351904
12/13/2020,-0.507893304
12/20/2020,-0.573177518
12/27/2020,-0.456493506
1/3/2021,-0.332387829
1/10/2021,-0.375819374
1/17/2021,-0.415492958
1/24/2021,-0.443211488
1/31/2021,-0.407725322
2/7/2021,-0.48164557
2/14/2021,-0.420394737
2/21/2021,-0.369912791
2/28/2021,-0.378071834
3/7/2021,-0.345828295
3/14/2021,-0.40617849
3/21/2021,-0.407574901
3/28/2021,-0.442714127
4/4/2021,-0.445783133
4/11/2021,-0.398492192
4/18/2021,-0.468374281
4/25/2021,-0.480453258
5/2/2021,-0.4
5/9/2021,-0.386826973
5/16/2021,-0.472405063
5/23/2021,-0.350553506
5/30/2021,-0.372278279
6/6/2021,-0.399173174
6/13/2021,-0.380182002
6/20/2021,-0.33038674
6/27/2021,-0.357027464
7/4/2021,-0.458269329
7/11/2021,-0.424823411
7/18/2021,-0.346377578
7/25/2021,-0.40821256
8/1/2021,-0.4456773
8/8/2021,-0.331709693
8/15/2021,-0.359063745
8/22/2021,-0.32160804
8/29/2021,-0.352085354
9/5/2021,-0.317474433
9/12/2021,-0.260645765
9/19/2021,-0.296516957
9/26/2021,-0.279354207
10/3/2021,-0.2465
10/10/2021,-0.111411574
10/17/2021,-0.103299081
10/24/2021,-0.019673974
10/31/2021,-0.078862661
11/7/2021,-0.043157297
11/14/2021,-0.03153888
11/21/2021,-0.019845645
11/28/2021,-0.037058483
12/5/2021,0.043774872
12/12/2021,-0.001088732
12/19/2021,0.071229827
12/26/2021,0.040909091
