Week Ending,Percent Change
1/5/2020,-0.027433125
1/12/2020,0.204934887
1/19/2020,0.02532391
1/26/2020,0.01981982
2/2/2020,0.312110727
2/9/2020,0.050233645
2/16/2020,0.111854103
2/23/2020,0.207746479
3/1/2020,0.058614565
3/8/2020,0.140533507
3/15/2020,-0.092884302
3/22/2020,-0.552183174
3/29/2020,-0.633647799
4/5/2020,-0.6665
4/12/2020,-0.660516605
4/19/2020,-0.631874299
4/26/2020,-0.67837431
5/3/2020,-0.594850236
5/10/2020,-0.614541833
5/17/2020,-0.635755258
5/24/2020,-0.621038126
5/31/2020,-0.605348087
6/7/2020,-0.543905636
6/14/2020,-0.565569862
6/21/2020,-0.555880918
6/28/2020,-0.531451213
7/5/2020,-0.475629352
7/12/2020,-0.542642924
7/19/2020,-0.485985986
7/26/2020,-0.495614035
8/2/2020,-0.475485661
8/9/2020,-0.441570881
8/16/2020,-0.490334748
8/23/2020,-0.473152822
8/30/2020,-0.446338093
9/6/2020,-0.476983779
9/13/2020,-0.512677267
9/20/2020,-0.532176122
9/27/2020,-0.522311942
10/4/2020,-0.398773006
10/11/2020,-0.361495136
10/18/2020,-0.452978828
10/25/2020,-0.309449637
11/1/2020,-0.465081724
11/8/2020,-0.485395645
11/15/2020,-0.513409962
11/22/2020,-0.511682243
11/29/2020,-0.514668367
12/6/2020,-0.524004684
12/13/2020,-0.516630901
12/20/2020,-0.547349613
12/27/2020,-0.469341408
1/3/2021,-0.517814456
1/10/2021,-0.487320082
1/17/2021,-0.583627797
1/24/2021,-0.565165165
1/31/2021,-0.509342561
2/7/2021,-0.585864486
2/14/2021,-0.498480243
2/21/2021,-0.457042254
2/28/2021,-0.439313203
3/7/2021,-0.379960963
3/14/2021,-0.4839761
3/21/2021,-0.473908413
3/28/2021,-0.506289308
4/4/2021,-0.5205
4/11/2021,-0.504480759
4/18/2021,-0.484848485
4/25/2021,-0.521826392
5/2/2021,-0.483447189
5/9/2021,-0.485557769
5/16/2021,-0.508126195
5/23/2021,-0.490124024
5/30/2021,-0.474412172
6/6/2021,-0.521625164
6/13/2021,-0.449213162
6/20/2021,-0.410932162
6/27/2021,-0.517087667
7/4/2021,-0.464916979
7/11/2021,-0.517806935
7/18/2021,-0.40990991
7/25/2021,-0.485380117
8/1/2021,-0.473635523
8/8/2021,-0.500478927
8/15/2021,-0.523338048
8/22/2021,-0.493345571
8/29/2021,-0.467065868
9/5/2021,-0.500219202
9/12/2021,-0.464546627
9/19/2021,-0.436917866
9/26/2021,-0.44241394
10/3/2021,-0.410099103
10/10/2021,-0.38812084
10/17/2021,-0.411127523
10/24/2021,-0.318795431
10/31/2021,-0.404160475
11/7/2021,-0.372809347
11/14/2021,-0.3136289
11/21/2021,-0.294392523
11/28/2021,-0.328443878
12/5/2021,-0.241217799
12/12/2021,-0.380901288
12/19/2021,-0.265634306
12/26/2021,-0.225586677
