Week Ending,Percent Change
1/5/2020,0.001339809
1/12/2020,0.28299837
1/19/2020,0.171503958
1/26/2020,0.084910486
2/2/2020,0.171997902
2/9/2020,0.089866157
2/16/2020,0.134536082
2/23/2020,0.140732265
3/1/2020,0.103315714
3/8/2020,0.055659495
3/15/2020,-0.055530676
3/22/2020,-0.452794739
3/29/2020,-0.579205712
4/5/2020,-0.567460317
4/12/2020,-0.545454545
4/19/2020,-0.563570784
4/26/2020,-0.551159618
5/3/2020,-0.509761388
5/10/2020,-0.495476088
5/17/2020,-0.480248557
5/24/2020,-0.529365079
5/31/2020,-0.513855899
6/7/2020,-0.51550529
6/14/2020,-0.441493457
6/21/2020,-0.480519481
6/28/2020,-0.499450348
7/5/2020,-0.44969278
7/12/2020,-0.468409586
7/19/2020,-0.450973054
7/26/2020,-0.494505495
8/2/2020,-0.445363048
8/9/2020,-0.483801296
8/16/2020,-0.417702448
8/23/2020,-0.381543234
8/30/2020,-0.441549041
9/6/2020,-0.364285714
9/13/2020,-0.435799023
9/20/2020,-0.433436533
9/27/2020,-0.467719298
10/4/2020,-0.434029006
10/11/2020,-0.342471196
10/18/2020,-0.367231638
10/25/2020,-0.268526591
11/1/2020,-0.397669903
11/8/2020,-0.334298717
11/15/2020,-0.370842825
11/22/2020,-0.337040619
11/29/2020,-0.389954338
12/6/2020,-0.401495163
12/13/2020,-0.374835598
12/20/2020,-0.442038217
12/27/2020,-0.374881517
1/3/2021,-0.272483671
1/10/2021,-0.241716458
1/17/2021,-0.289709763
1/24/2021,-0.354987212
1/31/2021,-0.317252229
2/7/2021,-0.369024857
2/14/2021,-0.272164948
2/21/2021,-0.220251716
2/28/2021,-0.266698703
3/7/2021,-0.217960711
3/14/2021,-0.301836095
3/21/2021,-0.279004227
3/28/2021,-0.304774654
4/4/2021,-0.312169312
4/11/2021,-0.288898601
4/18/2021,-0.373760144
4/25/2021,-0.313324238
5/2/2021,-0.324078091
5/9/2021,-0.285221887
5/16/2021,-0.218819352
5/23/2021,-0.35952381
5/30/2021,-0.332937451
6/6/2021,-0.321780372
6/13/2021,-0.339107005
6/20/2021,-0.404703405
6/27/2021,-0.397947966
7/4/2021,-0.312211982
7/11/2021,-0.364197531
7/18/2021,-0.355164671
7/25/2021,-0.357674583
8/1/2021,-0.341121495
8/8/2021,-0.327573794
8/15/2021,-0.273446328
8/22/2021,-0.297014347
8/29/2021,-0.304379298
9/5/2021,-0.328571429
9/12/2021,-0.345080251
9/19/2021,-0.306157551
9/26/2021,-0.338947368
10/3/2021,-0.30244075
10/10/2021,-0.22447358
10/17/2021,-0.222760291
10/24/2021,-0.151700087
10/31/2021,-0.230679612
11/7/2021,-0.158874638
11/14/2021,-0.120273349
11/21/2021,-0.039168279
11/28/2021,-0.208219178
12/5/2021,-0.115215479
12/12/2021,-0.127137221
12/19/2021,-0.157961783
12/26/2021,-0.118483412
