Week Ending,Percent Change
1/5/2020,0.446515964
1/12/2020,0.462695925
1/19/2020,0.387885847
1/26/2020,0.479573712
2/2/2020,0.563882064
2/9/2020,0.257379596
2/16/2020,0.397982063
2/23/2020,0.371318822
3/1/2020,0.418036871
3/8/2020,0.349367089
3/15/2020,0.093793103
3/22/2020,-0.345479082
3/29/2020,-0.538395168
4/5/2020,-0.590890606
4/12/2020,-0.58734287
4/19/2020,-0.517733763
4/26/2020,-0.523634695
5/3/2020,-0.514712154
5/10/2020,-0.48976249
5/17/2020,-0.497487437
5/24/2020,-0.528344671
5/31/2020,-0.421768707
6/7/2020,-0.46349096
6/14/2020,-0.411328125
6/21/2020,-0.375308642
6/28/2020,-0.341598974
7/5/2020,-0.346547315
7/12/2020,-0.389864326
7/19/2020,-0.347355269
7/26/2020,-0.403406891
8/2/2020,-0.450810403
8/9/2020,-0.40625
8/16/2020,-0.413161994
8/23/2020,-0.489677419
8/30/2020,-0.411314985
9/6/2020,-0.416480239
9/13/2020,-0.49738037
9/20/2020,-0.470354302
9/27/2020,-0.461420932
10/4/2020,-0.427921093
10/11/2020,-0.337126001
10/18/2020,-0.411167513
10/25/2020,-0.405874499
11/1/2020,-0.480524805
11/8/2020,-0.463539446
11/15/2020,-0.445148708
11/22/2020,-0.440566038
11/29/2020,-0.46440678
12/6/2020,-0.527281064
12/13/2020,-0.586689275
12/20/2020,-0.632464256
12/27/2020,-0.53025641
1/3/2021,-0.30086227
1/10/2021,-0.387460815
1/17/2021,-0.465346535
1/24/2021,-0.414446418
1/31/2021,-0.44041769
2/7/2021,-0.515794925
2/14/2021,-0.39293722
2/21/2021,-0.303457106
2/28/2021,-0.39511709
3/7/2021,-0.420253165
3/14/2021,-0.424367816
3/21/2021,-0.439496176
3/28/2021,-0.462036238
4/4/2021,-0.498576657
4/11/2021,-0.474208929
4/18/2021,-0.478120682
4/25/2021,-0.462138596
5/2/2021,-0.485287846
5/9/2021,-0.466420966
5/16/2021,-0.432998325
5/23/2021,-0.440665155
5/30/2021,-0.396958784
6/6/2021,-0.446105702
6/13/2021,-0.382421875
6/20/2021,-0.363374486
6/27/2021,-0.400598546
7/4/2021,-0.402387042
7/11/2021,-0.432561852
7/18/2021,-0.409412745
7/25/2021,-0.443283004
8/1/2021,-0.474934037
8/8/2021,-0.457078313
8/15/2021,-0.467679128
8/22/2021,-0.536774194
8/29/2021,-0.349006116
9/5/2021,-0.387770321
9/12/2021,-0.37408313
9/19/2021,-0.309472162
9/26/2021,-0.281512605
10/3/2021,-0.279210926
10/10/2021,-0.232195533
10/17/2021,-0.228849408
10/24/2021,-0.127725857
10/31/2021,-0.220172202
11/7/2021,-0.119829424
11/14/2021,-0.044856168
11/21/2021,-0.06509434
11/28/2021,-0.125423729
12/5/2021,-0.090325539
12/12/2021,-0.186095803
12/19/2021,-0.142977292
12/26/2021,-0.153333333
