Week Ending,Percent Change
1/5/2020,-0.003446955
1/12/2020,0.089552239
1/19/2020,0.136431784
1/26/2020,0.109608541
2/2/2020,0.165137615
2/9/2020,0.163877266
2/16/2020,0.197264219
2/23/2020,0.210651828
3/1/2020,0.169606513
3/8/2020,0.236669102
3/15/2020,0.084962913
3/22/2020,-0.370916079
3/29/2020,-0.520249221
4/5/2020,-0.49339207
4/12/2020,-0.527899687
4/19/2020,-0.45232816
4/26/2020,-0.55861244
5/3/2020,-0.516476932
5/10/2020,-0.479324403
5/17/2020,-0.473587224
5/24/2020,-0.481581798
5/31/2020,-0.451408856
6/7/2020,-0.48185699
6/14/2020,-0.42325315
6/21/2020,-0.432735426
6/28/2020,-0.462149285
7/5/2020,-0.494135645
7/12/2020,-0.477178423
7/19/2020,-0.462526767
7/26/2020,-0.424890351
8/2/2020,-0.372515616
8/9/2020,-0.31640625
8/16/2020,-0.36557377
8/23/2020,-0.337006961
8/30/2020,-0.320414847
9/6/2020,-0.334517766
9/13/2020,-0.394789579
9/20/2020,-0.322732013
9/27/2020,-0.379815518
10/4/2020,-0.387601078
10/11/2020,-0.277844311
10/18/2020,-0.304990758
10/25/2020,-0.295219638
11/1/2020,-0.367201426
11/8/2020,-0.366583541
11/15/2020,-0.4015844
11/22/2020,-0.408967391
11/29/2020,-0.455140799
12/6/2020,-0.441355932
12/13/2020,-0.445859873
12/20/2020,-0.446269678
12/27/2020,-0.399854334
1/3/2021,-0.395633857
1/10/2021,-0.36641791
1/17/2021,-0.371064468
1/24/2021,-0.447686833
1/31/2021,-0.443189838
2/7/2021,-0.49930265
2/14/2021,-0.412526998
2/21/2021,-0.330683625
2/28/2021,-0.328358209
3/7/2021,-0.210372535
3/14/2021,-0.304787593
3/21/2021,-0.365150545
3/28/2021,-0.387538941
4/4/2021,-0.393958464
4/11/2021,-0.389968652
4/18/2021,-0.36067997
4/25/2021,-0.453947368
5/2/2021,-0.419412822
5/9/2021,-0.412929528
5/16/2021,-0.386977887
5/23/2021,-0.429577465
5/30/2021,-0.39160437
6/6/2021,-0.440234792
6/13/2021,-0.36139748
6/20/2021,-0.331838565
6/27/2021,-0.419798835
7/4/2021,-0.472718001
7/11/2021,-0.439834025
7/18/2021,-0.438436831
7/25/2021,-0.407346491
8/1/2021,-0.384440659
8/8/2021,-0.331473214
8/15/2021,-0.405464481
8/22/2021,-0.328306265
8/29/2021,-0.352620087
9/5/2021,-0.368020305
9/12/2021,-0.369238477
9/19/2021,-0.327945777
9/26/2021,-0.303852415
10/3/2021,-0.281940701
10/10/2021,-0.189221557
10/17/2021,-0.168823167
10/24/2021,-0.157622739
10/31/2021,-0.222816399
11/7/2021,-0.174563591
11/14/2021,-0.179159049
11/21/2021,-0.040081522
11/28/2021,-0.220039293
12/5/2021,-0.008135593
12/12/2021,-0.146496815
12/19/2021,-0.136208077
12/26/2021,-0.166788055
