Week Ending,Percent Change
1/5/2020,-0.001808318
1/12/2020,0.176918889
1/19/2020,0.131487889
1/26/2020,0.138721137
2/2/2020,0.177933567
2/9/2020,0.083280457
2/16/2020,0.12414019
2/23/2020,0.186315579
3/1/2020,0.142439024
3/8/2020,0.19609552
3/15/2020,-0.083694307
3/22/2020,-0.526655897
3/29/2020,-0.636322119
4/5/2020,-0.654829123
4/12/2020,-0.645064054
4/19/2020,-0.615491249
4/26/2020,-0.678700361
5/3/2020,-0.661835004
5/10/2020,-0.645006017
5/17/2020,-0.654288378
5/24/2020,-0.628983764
5/31/2020,-0.59204893
6/7/2020,-0.57767959
6/14/2020,-0.555572021
6/21/2020,-0.528701357
6/28/2020,-0.550332658
7/5/2020,-0.47981982
7/12/2020,-0.572168461
7/19/2020,-0.556735606
7/26/2020,-0.559215137
8/2/2020,-0.534273625
8/9/2020,-0.509158558
8/16/2020,-0.477201375
8/23/2020,-0.457291826
8/30/2020,-0.508738653
9/6/2020,-0.464370546
9/13/2020,-0.571684588
9/20/2020,-0.560401891
9/27/2020,-0.530627678
10/4/2020,-0.524781715
10/11/2020,-0.483064964
10/18/2020,-0.513090495
10/25/2020,-0.463078671
11/1/2020,-0.533565124
11/8/2020,-0.543581175
11/15/2020,-0.569971264
11/22/2020,-0.577475211
11/29/2020,-0.570414428
12/6/2020,-0.561879653
12/13/2020,-0.595803991
12/20/2020,-0.582779199
12/27/2020,-0.478336222
1/3/2021,-0.535889582
1/10/2021,-0.519506442
1/17/2021,-0.577689899
1/24/2021,-0.55026643
1/31/2021,-0.547320981
2/7/2021,-0.591846447
2/14/2021,-0.526039961
2/21/2021,-0.489726711
2/28/2021,-0.496422764
3/7/2021,-0.443088722
3/14/2021,-0.519028465
3/21/2021,-0.484814216
3/28/2021,-0.53980819
4/4/2021,-0.553491828
4/11/2021,-0.536699322
4/18/2021,-0.461618437
4/25/2021,-0.579723225
5/2/2021,-0.515959907
5/9/2021,-0.527677497
5/16/2021,-0.477625855
5/23/2021,-0.497294047
5/30/2021,-0.494342508
6/6/2021,-0.541191562
6/13/2021,-0.464137522
6/20/2021,-0.509915014
6/27/2021,-0.526178768
7/4/2021,-0.460720721
7/11/2021,-0.612103039
7/18/2021,-0.523896031
7/25/2021,-0.523055361
8/1/2021,-0.519464034
8/8/2021,-0.482255295
8/15/2021,-0.473314397
8/22/2021,-0.478300874
8/29/2021,-0.511177347
9/5/2021,-0.403272631
9/12/2021,-0.500716846
9/19/2021,-0.48250591
9/26/2021,-0.443156037
10/3/2021,-0.422829995
10/10/2021,-0.373958912
10/17/2021,-0.411354582
10/24/2021,-0.349900596
10/31/2021,-0.421770527
11/7/2021,-0.397800056
11/14/2021,-0.387931034
11/21/2021,-0.363770904
11/28/2021,-0.400805833
12/5/2021,-0.340880893
12/12/2021,-0.366637324
12/19/2021,-0.326001705
12/26/2021,-0.332755633
