Week Ending,Percent Change
1/5/2020,0.193050193
1/12/2020,0.33153929
1/19/2020,0.308270677
1/26/2020,0.076996198
2/2/2020,0.271529889
2/9/2020,0.156702899
2/16/2020,0.173545966
2/23/2020,0.333705357
3/1/2020,0.057573074
3/8/2020,0.123555556
3/15/2020,-0.106995885
3/22/2020,-0.399838449
3/29/2020,-0.561085973
4/5/2020,-0.564885496
4/12/2020,-0.571319603
4/19/2020,-0.511054422
4/26/2020,-0.552504039
5/3/2020,-0.544539117
5/10/2020,-0.561965812
5/17/2020,-0.511896179
5/24/2020,-0.523563589
5/31/2020,-0.402158273
6/7/2020,-0.403090792
6/14/2020,-0.305891239
6/21/2020,-0.3827073
6/28/2020,-0.326825741
7/5/2020,-0.318113772
7/12/2020,-0.337570621
7/19/2020,-0.34542706
7/26/2020,-0.350314027
8/2/2020,-0.360082305
8/9/2020,-0.332386364
8/16/2020,-0.377572747
8/23/2020,-0.407620417
8/30/2020,-0.422516556
9/6/2020,-0.344945355
9/13/2020,-0.405757368
9/20/2020,-0.413907285
9/27/2020,-0.395612173
10/4/2020,-0.411686587
10/11/2020,-0.382308846
10/18/2020,-0.423330888
10/25/2020,-0.373343726
11/1/2020,-0.457839721
11/8/2020,-0.474763407
11/15/2020,-0.381244522
11/22/2020,-0.323792487
11/29/2020,-0.385964912
12/6/2020,-0.483099753
12/13/2020,-0.462233169
12/20/2020,-0.528209321
12/27/2020,-0.519327731
1/3/2021,-0.355563356
1/10/2021,-0.347685684
1/17/2021,-0.334049409
1/24/2021,-0.511406844
1/31/2021,-0.382978723
2/7/2021,-0.515398551
2/14/2021,-0.454033771
2/21/2021,-0.316964286
2/28/2021,-0.345438441
3/7/2021,-0.357333333
3/14/2021,-0.344032922
3/21/2021,-0.371567044
3/28/2021,-0.418552036
4/4/2021,-0.396946565
4/11/2021,-0.437070938
4/18/2021,-0.341836735
4/25/2021,-0.442649435
5/2/2021,-0.456235476
5/9/2021,-0.472222222
5/16/2021,-0.43186734
5/23/2021,-0.40929632
5/30/2021,-0.415827338
6/6/2021,-0.438506117
6/13/2021,-0.36858006
6/20/2021,-0.357902197
6/27/2021,-0.420101229
7/4/2021,-0.41991018
7/11/2021,-0.412429379
7/18/2021,-0.296296296
7/25/2021,-0.407536636
8/1/2021,-0.419067215
8/8/2021,-0.389204545
8/15/2021,-0.428672818
8/22/2021,-0.404744788
8/29/2021,-0.438410596
9/5/2021,-0.368852459
9/12/2021,-0.365318711
9/19/2021,-0.360264901
9/26/2021,-0.277423921
10/3/2021,-0.368525896
10/10/2021,-0.318590705
10/17/2021,-0.327953045
10/24/2021,-0.282930631
10/31/2021,-0.320557491
11/7/2021,-0.309936909
11/14/2021,-0.183172656
11/21/2021,-0.205724508
11/28/2021,-0.27700831
12/5/2021,-0.267106348
12/12/2021,-0.247947455
12/19/2021,-0.161896975
12/26/2021,-0.307563025
