Week Ending,Percent Change
1/5/2020,-0.03869284
1/12/2020,0.257849031
1/19/2020,0.034553441
1/26/2020,0.028748068
2/2/2020,0.116169545
2/9/2020,0.02266858
2/16/2020,0.061664642
2/23/2020,0.105669109
3/1/2020,0.058910162
3/8/2020,0.033459412
3/15/2020,-0.156712474
3/22/2020,-0.533388293
3/29/2020,-0.623015873
4/5/2020,-0.619994766
4/12/2020,-0.572695512
4/19/2020,-0.530421687
4/26/2020,-0.592730167
5/3/2020,-0.605619413
5/10/2020,-0.560362173
5/17/2020,-0.613670886
5/24/2020,-0.54379562
5/31/2020,-0.554893837
6/7/2020,-0.505430664
6/14/2020,-0.494831338
6/21/2020,-0.47075445
6/28/2020,-0.466532025
7/5/2020,-0.408710801
7/12/2020,-0.454780362
7/19/2020,-0.467751142
7/26/2020,-0.435889843
8/2/2020,-0.443915501
8/9/2020,-0.425028835
8/16/2020,-0.473181691
8/23/2020,-0.369142857
8/30/2020,-0.40530925
9/6/2020,-0.366107724
9/13/2020,-0.496542783
9/20/2020,-0.462287656
9/27/2020,-0.41356674
10/4/2020,-0.406035329
10/11/2020,-0.331925007
10/18/2020,-0.440677966
10/25/2020,-0.34430242
11/1/2020,-0.446450966
11/8/2020,-0.455816407
11/15/2020,-0.473602484
11/22/2020,-0.402464066
11/29/2020,-0.480911132
12/6/2020,-0.44928751
12/13/2020,-0.430862832
12/20/2020,-0.546254332
12/27/2020,-0.434924078
1/3/2021,-0.5292182
1/10/2021,-0.387107548
1/17/2021,-0.439238653
1/24/2021,-0.450695518
1/31/2021,-0.434850863
2/7/2021,-0.517647059
2/14/2021,-0.377582017
2/21/2021,-0.28268415
2/28/2021,-0.305154639
3/7/2021,-0.299679953
3/14/2021,-0.369186047
3/21/2021,-0.382522671
3/28/2021,-0.384656085
4/4/2021,-0.416906569
4/11/2021,-0.3759742
4/18/2021,-0.310542169
4/25/2021,-0.509153622
5/2/2021,-0.373180077
5/9/2021,-0.326710262
5/16/2021,-0.325316456
5/23/2021,-0.275547445
5/30/2021,-0.349818747
6/6/2021,-0.323313968
6/13/2021,-0.235038085
6/20/2021,-0.302627861
6/27/2021,-0.319965378
7/4/2021,-0.263066202
7/11/2021,-0.4527706
7/18/2021,-0.335045662
7/25/2021,-0.326917382
8/1/2021,-0.290687295
8/8/2021,-0.319204152
8/15/2021,-0.403538332
8/22/2021,-0.351142857
8/29/2021,-0.331691297
9/5/2021,-0.271341463
9/12/2021,-0.364736387
9/19/2021,-0.261834655
9/26/2021,-0.260393873
10/3/2021,-0.249754661
10/10/2021,-0.204911539
10/17/2021,-0.325772682
10/24/2021,-0.13298885
10/31/2021,-0.224479559
11/7/2021,-0.095489317
11/14/2021,-0.167701863
11/21/2021,-0.048987973
11/28/2021,-0.184472249
12/5/2021,-0.05364627
12/12/2021,-0.115044248
12/19/2021,-0.137829912
12/26/2021,-0.194866233
