latitude,longitude,business_name,street_address,zip,NAICS_2017_6digit_code,NAICS_2017_6digit_desc,NAICS_2017_2digit_code,NAICS_2017_2digit_desc,estimated_employment,employment_buckets,mainstreet,geometry,district,index_right,DISTRICT
42.336937,-71.075881,toro,1704 Washington St,2118,722511,Full-Service Restaurants,72,Accommodation and Food Services,10.0,10 to 24,Washington St Gateway,POINT (-71.075881 42.336937),,4,3
42.338249,-71.073105,the franklin,11 E Newton St,2118,621610,Home Health Care Services,62,Healthcare and Social Assistance,5.0,1 to 9,Washington St Gateway,POINT (-71.073105 42.338249),,4,3
42.335999,-71.07724,roxbury corners llc,1782 Washington St,2118,531110,Lessors of Residential Buildings and Dwellings,53,Real Estate Rental and Leasing,4.0,1 to 9,Washington St Gateway,POINT (-71.07724 42.335999),,4,3
42.336431,-71.076565,rosie's place,1750 Washington St,2118,624230,Emergency and Other Relief Services,62,Healthcare and Social Assistance,10.0,10 to 24,Washington St Gateway,POINT (-71.076565 42.336431),,4,3
42.335999,-71.07724,parmelee court homes,1782 Washington St,2118,531110,Lessors of Residential Buildings and Dwellings,53,Real Estate Rental and Leasing,4.0,1 to 9,Washington St Gateway,POINT (-71.07724 42.335999),,4,3
42.337426,-71.075091,orange octopus trust,1662 Washington St,2118,523991,"Trust, Fiduciary, and Custody Activities",52,Finance and Insurance,5.0,1 to 9,Washington St Gateway,POINT (-71.075091 42.337426),,4,3
42.336974,-71.076084,mike's city diner,1714 Washington St,2118,722511,Full-Service Restaurants,72,Accommodation and Food Services,15.0,10 to 24,Washington St Gateway,POINT (-71.076084 42.336974),,4,3
42.33848,-71.073387,marais historic investments llc,19 Father Francis Gilday St,2118,523910,Miscellaneous Intermediation,52,Finance and Insurance,12.0,10 to 24,Washington St Gateway,POINT (-71.073387 42.33848),,4,3
42.337939,-71.074712,little lovage club,1636 Washington St,2118,813410,Civic and Social Organizations,81,Other Services,5.0,1 to 9,Washington St Gateway,POINT (-71.074712 42.337939),,4,3
42.336495,-71.076477,laz cafe,1744 Washington St,2118,722511,Full-Service Restaurants,72,Accommodation and Food Services,1.0,1 to 9,Washington St Gateway,POINT (-71.076477 42.336495),,4,3
