latitude,longitude,business_name,street_address,zip,NAICS_2017_6digit_code,NAICS_2017_6digit_desc,NAICS_2017_2digit_code,NAICS_2017_2digit_desc,estimated_employment,employment_buckets,mainstreet,geometry,district,index_right,DISTRICT
42.255827,-71.122796,zaz restaurant,1238 River St,2136,722511,Full-Service Restaurants,72,Accommodation and Food Services,8.0,1 to 9,Hyde Park,POINT (-71.122796 42.255827),,8,5
42.255039,-71.120529,z & r convenience plus,59 Fairmount Ave,2136,445120,Convenience Stores,44,Retail Trade,2.0,1 to 9,Hyde Park,POINT (-71.120529 42.255039),,8,5
42.256805,-71.123543,youth & family enrichment service,1234 Hyde Park Ave,2136,624110,Child and Youth Services,62,Healthcare and Social Assistance,5.0,1 to 9,Hyde Park,POINT (-71.123543 42.256805),,8,5
42.257182,-71.1204,ymca,1137 River St,2136,624110,Child and Youth Services,62,Healthcare and Social Assistance,100.0,100+,Hyde Park,POINT (-71.1204 42.257182),,8,5
42.256069,-71.124769,x trinity fitness,1295 River St,2136,451110,Sporting Goods Stores,45,Retail Trade,5.0,1 to 9,Hyde Park,POINT (-71.124769 42.256069),,8,5
42.255457,-71.124008,wy hair salon & barbershop,1276 Hyde Park Ave,2136,812112,Beauty Salons,81,Other Services,3.0,1 to 9,Hyde Park,POINT (-71.124008 42.255457),,8,5
42.255699,-71.123795,wwp wireless inc,1266 River St,2136,517312,Wireless Telecommunications Carriers (except Satellite),51,Information,2.0,1 to 9,Hyde Park,POINT (-71.123795 42.255699),,8,5
42.256104,-71.120395,work up institute,1166 River St,2136,541612,Human Resources Consulting Services,54,"Professional, Scientific, and Technical Services",0.0,Not Available,Hyde Park,POINT (-71.120395 42.256104),,8,5
42.255226,-71.124008,willy wireless,1284 Hyde Park Ave,2136,517312,Wireless Telecommunications Carriers (except Satellite),51,Information,2.0,1 to 9,Hyde Park,POINT (-71.124008 42.255226),,8,5
42.255539,-71.123335,western union agent location,1248 River St,2136,522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",52,Finance and Insurance,3.0,1 to 9,Hyde Park,POINT (-71.123335 42.255539),,8,5
42.256104,-71.120395,we clean well,1166 River St,2136,561720,Janitorial Services,56,"Adminstrative, Support, Waste Management, and Remediation Services",0.0,Not Available,Hyde Park,POINT (-71.120395 42.256104),,8,5
42.253511,-71.124898,walgreens,1329 Hyde Park Ave,2136,446110,Pharmacies and Drug Stores,44,Retail Trade,30.0,25 to 49,Hyde Park,POINT (-71.124898 42.253511),,8,5
42.256393,-71.121743,waggey land,1203 River St,2136,812910,Pet Care (except Veterinary) Services,81,Other Services,11.0,10 to 24,Hyde Park,POINT (-71.121743 42.256393),,8,5
42.255457,-71.124008,w y services & retail inc,1276 Hyde Park Ave,2136,452210,Department Stores,45,Retail Trade,3.0,1 to 9,Hyde Park,POINT (-71.124008 42.255457),,8,5
42.255699,-71.123817,voltage park llc,1260 River St,2136,0,,99,Undefined,0.0,Not Available,Hyde Park,POINT (-71.123817 42.255699),,8,5
42.256104,-71.120395,vieux's views photography,1166 River St,2136,541922,Commercial Photography,54,"Professional, Scientific, and Technical Services",2.0,1 to 9,Hyde Park,POINT (-71.120395 42.256104),,8,5
42.255451,-71.124485,usps,1269 Hyde Park Ave,2136,491110,Postal Service,49,Transportation and Warehosuing,60.0,50 to 99,Hyde Park,POINT (-71.124485 42.255451),,8,5
42.256196,-71.122803,unlimited realty solutions boston real estate school,1229 River St,2136,611519,Other Technical and Trade Schools,61,Educational Services,7.0,1 to 9,Hyde Park,POINT (-71.122803 42.256196),,8,5
42.256161,-71.121809,union printworks,1193 River St,2136,541890,Other Services Related to Advertising,54,"Professional, Scientific, and Technical Services",3.0,1 to 9,Hyde Park,POINT (-71.121809 42.256161),,8,5
42.255539,-71.123335,union chiropractic clinic,1242 River St,2136,621310,Offices of Chiropractors,62,Healthcare and Social Assistance,3.0,1 to 9,Hyde Park,POINT (-71.123335 42.255539),,8,5
42.256329,-71.123802,u-smile p c,1248 Hyde Park Ave,2136,621210,Offices of Dentists,62,Healthcare and Social Assistance,5.0,1 to 9,Hyde Park,POINT (-71.123802 42.256329),,8,5
42.256824,-71.12412,twentieth century bowling lanes,1231 Hyde Park Ave,2136,713950,Bowling Centers,71,"Arts, Entertainment, and Recreation",5.0,1 to 9,Hyde Park,POINT (-71.12412 42.256824),,8,5
42.255873,-71.120747,toward independent living,1174 River St,2136,624190,Other Individual and Family Services,62,Healthcare and Social Assistance,9.0,1 to 9,Hyde Park,POINT (-71.120747 42.255873),,8,5
42.255591,-71.12069,tommy s pizzeria hyde park,10 Fairmount Ave,2136,722511,Full-Service Restaurants,72,Accommodation and Food Services,2.0,1 to 9,Hyde Park,POINT (-71.12069 42.255591),,8,5
