,...1,latitude,longitude,business_name,street_address,zip,NAICS_2017_6digit_code,NAICS_2017_6digit_desc,NAICS_2017_2digit_code,NAICS_2017_2digit_desc,estimated_employment,employment_buckets,mainstreet,geometry,district,index_right,DISTRICT,
2667,2668,42.311327,-71.080831,wingz + tingz,388 Blue Hill Ave,2121,722511,Full-Service Restaurants,72,Accommodation and Food Services,5,1 to 9,Grove Hall,POINT (-71.080831 42.311327),,6,4,small business
2670,2671,42.305682,-71.081282,washington columbia li,95 Washington St,2121,531210,Offices of Real Estate Agents and Brokers,53,Real Estate Rental and Leasing,3,1 to 9,Grove Hall,POINT (-71.081282 42.305682),,6,4,
2671,2672,42.305682,-71.081282,washington columbia ii apartments,95 Washington St,2121,0,,99,,5,1 to 9,Grove Hall,POINT (-71.081282 42.305682),,6,4,
2672,2673,42.305404,-71.081098,washington columbia ii,102 Columbia Rd,2121,0,,99,Undefined,0,Not Available,Grove Hall,POINT (-71.081098 42.305404),,6,4,
2674,2675,42.307953,-71.083183,vip wireless,482 Blue Hill Ave,2121,517312,Wireless Telecommunications Carriers (except Satellite),51,Information,2,1 to 9,Grove Hall,POINT (-71.083183 42.307953),,6,4,small business
2679,2680,42.307361,-71.082764,upscale home solutions inc,23 Washington St,2121,0,,99,Undefined,0,Not Available,Grove Hall,POINT (-71.082764 42.307361),,6,4,
2683,2684,42.3082,-71.0828,transitional remedies solutions,320B Blue Hill Ave,2121,813319,Other Social Advocacy Organizations,81,Other Services,9,1 to 9,Grove Hall,POINT (-71.0828 42.3082),,6,4,
2684,2685,42.307847,-71.083035,touch of class,11 Washington St,2121,812112,Beauty Salons,81,Personal Care Services,2,1 to 9,Grove Hall,POINT (-71.083035 42.307847),,6,4,
2685,2686,42.3082,-71.0828,touch fm,5 Cheney St,2121,515112,Radio Stations,51,Information,8,1 to 9,Grove Hall,POINT (-71.0828 42.3082),,6,4,
2686,2687,42.307846,-71.082985,tiffany nail spa,9 Washington St,2121,812113,Nail Salons,81,Personal Care Services,3,1 to 9,Grove Hall,POINT (-71.082985 42.307846),,6,4,
2688,2689,42.307953,-71.083183,teleprime llc,482 Blue Hill Ave,2121,237990,Other Heavy and Civil Engineering Construction,23,Construction,0,Not Available,Grove Hall,POINT (-71.083183 42.307953),,6,4,
2689,2690,42.311327,-71.080831,tasty caribbean,388 Blue Hill Ave,2121,722511,Full-Service Restaurants,72,Accommodation and Food Services,8,1 to 9,Grove Hall,POINT (-71.080831 42.311327),,6,4,
2690,2691,42.307069,-71.082074,sun pizza,46 Washington St,2121,722511,Full-Service Restaurants,72,Accommodation and Food Services,2,1 to 9,Grove Hall,POINT (-71.082074 42.307069),,6,4,
2691,2692,42.3082,-71.0828,stone & skillet,198 Quincy St,2121,311812,Commercial Bakeries,31,Manufacturing,25,25 to 49,Grove Hall,POINT (-71.0828 42.3082),,6,4,
2693,2694,42.312811,-71.079707,spots cleaners & tailoring inc,336 Blue Hill Ave,2121,812320, ,81,Other Services,1,1 to 9,Grove Hall,POINT (-71.079707 42.312811),,6,4,
2694,2695,42.3082,-71.0828,specialized rigging & tree,121 Townsend St,2121,561730,Landscaping Services,56,"Adminstrative, Support, Waste Management, and Remediation Services",1,1 to 9,Grove Hall,POINT (-71.0828 42.3082),,6,4,
