,...1,latitude,longitude,business_name,street_address,zip,NAICS_2017_6digit_code,NAICS_2017_6digit_desc,NAICS_2017_2digit_code,NAICS_2017_2digit_desc,estimated_employment,employment_buckets,mainstreet,geometry,district,index_right,DISTRICT
695,696,42.370221,-71.038709,zion multi-svc,46 Maverick Sq,2128,813110,Religious Organizations,81,Other Services,3.0,1 to 9,East Boston,POINT (-71.038709 42.370221),,0,1
696,697,42.369918,-71.037917,yah kid,154 Maverick St,2128,453998,All Other Miscellaneous Store Retailers (except Tobacco Stores),45,Retail Trade,23.0,10 to 24,East Boston,POINT (-71.037917 42.369918),,0,1
697,698,42.369381,-71.039824,western union agent location,14 Maverick Sq,2128,522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",52,Finance and Insurance,2.0,1 to 9,East Boston,POINT (-71.039824 42.369381),,0,1
698,699,42.374317,-71.03862,western union agent location,1 Central Sq,2128,522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",52,Finance and Insurance,3.0,1 to 9,East Boston,POINT (-71.03862 42.374317),,0,1
699,700,42.375824,-71.039345,western union agent location,238 Meridian St,2128,522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",52,Finance and Insurance,3.0,1 to 9,East Boston,POINT (-71.039345 42.375824),,0,1
700,701,42.374317,-71.03862,walgreens,1 Central Sq,2128,446110,Pharmacies and Drug Stores,44,Retail Trade,60.0,50 to 99,East Boston,POINT (-71.03862 42.374317),,0,1
701,702,42.372818,-71.039268,w b mason,104 Meridian St,2128,453210,Office Supplies and Stationery Stores,45,Retail Trade,18.0,10 to 24,East Boston,POINT (-71.039268 42.372818),,0,1
702,703,42.37203,-71.038808,vmga corp,75 Meridian St,2128,0,,99,Undefined,0.0,Not Available,East Boston,POINT (-71.038808 42.37203),,0,1
703,704,42.376084,-71.038864,vilma's boutique,253 Meridian St,2128,448140,Family Clothing Stores,44,Retail Trade,2.0,1 to 9,East Boston,POINT (-71.038864 42.376084),,0,1
704,705,42.3759,-71.038947,velasquez jewelry,245 Meridian St,2128,448310,Jewelry Stores,44,Retail Trade,1.0,1 to 9,East Boston,POINT (-71.038947 42.3759),,0,1
705,706,42.376095,-71.039337,vault advertising,250 Meridian St,2128,541890,Other Services Related to Advertising,54,"Professional, Scientific, and Technical Services",0.0,Not Available,East Boston,POINT (-71.039337 42.376095),,0,1
706,707,42.375206,-71.037603,variedades kiara,31 Bennington St,2128,446120,"Cosmetics, Beauty Supplies, and Perfume Stores",44,Retail Trade,3.0,1 to 9,East Boston,POINT (-71.037603 42.375206),,0,1
707,708,42.371575,-71.039016,usps,50 Meridian St,2128,491110,Postal Service,49,Transportation and Warehosuing,4.0,1 to 9,East Boston,POINT (-71.039016 42.371575),,0,1
708,709,42.375446,-71.040644,ups access point location,210 Border St,2128,541860,Direct Mail Advertising,54,"Professional, Scientific, and Technical Services",13.0,10 to 24,East Boston,POINT (-71.040644 42.375446),,0,1
709,710,42.370212,-71.039445,ups access point location,123 Maverick St,2128,541860,Direct Mail Advertising,54,"Professional, Scientific, and Technical Services",13.0,10 to 24,East Boston,POINT (-71.039445 42.370212),,0,1
710,711,42.370221,-71.038709,unlimited pcs,46 Maverick Sq,2128,517312,Wireless Telecommunications Carriers (except Satellite),51,Information,3.0,1 to 9,East Boston,POINT (-71.038709 42.370221),,0,1
711,712,42.373487,-71.039272,topacio restaurant,120 Meridian St,2128,722511,Full-Service Restaurants,72,Accommodation and Food Services,4.0,1 to 9,East Boston,POINT (-71.039272 42.373487),,0,1
712,713,42.369305,-71.038904,tony's realty,37 Maverick Sq,2128,531210,Offices of Real Estate Agents and Brokers,53,Real Estate Rental and Leasing,5.0,1 to 9,East Boston,POINT (-71.038904 42.369305),,0,1
713,714,42.369529,-71.038526,tim lynch photography,63 Maverick Sq,2128,541921,"Photography Studios, Portrait",54,"Professional, Scientific, and Technical Services",3.0,1 to 9,East Boston,POINT (-71.038526 42.369529),,0,1
714,715,42.370212,-71.039445,tidy up boston,125 Maverick St,2128,561720,Janitorial Services,56,"Adminstrative, Support, Waste Management, and Remediation Services",5.0,1 to 9,East Boston,POINT (-71.039445 42.370212),,0,1
715,716,42.375676,-71.037415,theresa m di joseph law office,46 Bennington St,2128,541110,Offices of Lawyers,54,"Professional, Scientific, and Technical Services",3.0,1 to 9,East Boston,POINT (-71.037415 42.375676),,0,1
716,717,42.376163,-71.039488,the threading place,248 Meridian St,2128,812112,Beauty Salons,81,Other Services,0.0,Not Available,East Boston,POINT (-71.039488 42.376163),,0,1
717,718,42.368929,-71.039245,the station grocery,9 Maverick Sq,2128,445110,Supermarkets and Other Grocery (except Convenience) Stores,44,Retail Trade,2.0,1 to 9,East Boston,POINT (-71.039245 42.368929),,0,1
718,719,42.371017,-71.039424,the rifle,60 Paris St,2128,0,,99,Undefined,0.0,Not Available,East Boston,POINT (-71.039424 42.371017),,0,1
719,720,42.375986,-71.03895,the pizza shuttle inc,239 Meridian St,2128,722511,Full-Service Restaurants,72,Accommodation and Food Services,3.0,1 to 9,East Boston,POINT (-71.03895 42.375986),,0,1
720,721,42.374585,-71.037795,tertulias,28 Porter St,2128,722511,Full-Service Restaurants,72,Accommodation and Food Services,8.0,1 to 9,East Boston,POINT (-71.037795 42.374585),,0,1
721,722,42.375149,-71.037656,telepaisa,29 Bennington St,2128,517312,Wireless Telecommunications Carriers (except Satellite),51,Information,2.0,1 to 9,East Boston,POINT (-71.037656 42.375149),,0,1
722,723,42.370767,-71.038735,tax pro-east boston,25 Meridian St,2128,541213,Tax Preparation Services,54,"Professional, Scientific, and Technical Services",2.0,1 to 9,East Boston,POINT (-71.038735 42.370767),,0,1
723,724,42.369263,-71.040128,taqueria cancun,192 Sumner St,2128,722511,Full-Service Restaurants,72,Accommodation and Food Services,18.0,10 to 24,East Boston,POINT (-71.040128 42.369263),,0,1
724,725,42.369675,-71.038607,taco mex,65 Maverick Sq,2128,722511,Full-Service Restaurants,72,Accommodation and Food Services,12.0,10 to 24,East Boston,POINT (-71.038607 42.369675),,0,1
725,726,42.375923,-71.039345,taco mania,244 Meridian St,2128,722511,Full-Service Restaurants,72,Accommodation and Food Services,4.0,1 to 9,East Boston,POINT (-71.039345 42.375923),,0,1
726,727,42.375406,-71.040485,t-mobile,192 Border St,2128,517312,Wireless Telecommunications Carriers (except Satellite),51,Information,23.0,10 to 24,East Boston,POINT (-71.040485 42.375406),,0,1
727,728,42.37023,-71.038709,t b diamond,48 Maverick Sq,2128,522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",52,Finance and Insurance,2.0,1 to 9,East Boston,POINT (-71.038709 42.37023),,0,1
728,729,42.375044,-71.037855,superley inc,21 Bennington St,2128,522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",52,Finance and Insurance,2.0,1 to 9,East Boston,POINT (-71.037855 42.375044),,0,1
729,730,42.369918,-71.037917,super cargo corp,154 Maverick St,2128,0,,99,Undefined,0.0,Not Available,East Boston,POINT (-71.037917 42.369918),,0,1
730,731,42.374551,-71.038751,subway,13 Central Sq,2128,722511,Full-Service Restaurants,72,Accommodation and Food Services,6.0,1 to 9,East Boston,POINT (-71.038751 42.374551),,0,1
731,732,42.370358,-71.038548,su muebleria east boston furniture,8 Chelsea St,2128,442110,Furniture Stores,44,Retail Trade,1.0,1 to 9,East Boston,POINT (-71.038548 42.370358),,0,1
732,733,42.373588,-71.039324,style center salon,124 Meridian St,2128,812111,Barber Shops,81,Other Services,1.0,1 to 9,East Boston,POINT (-71.039324 42.373588),,0,1
733,734,42.374491,-71.038838,square smoke shop,9 Central Sq,2128,453991,Tobacco Stores,45,Retail Trade,2.0,1 to 9,East Boston,POINT (-71.038838 42.374491),,0,1
734,735,42.375856,-71.039342,soriano professional service,242 Meridian St,2128,541219,Other Accounting Services,54,"Professional, Scientific, and Technical Services",4.0,1 to 9,East Boston,POINT (-71.039342 42.375856),,0,1
