,...1,latitude,longitude,business_name,street_address,zip,NAICS_2017_6digit_code,NAICS_2017_6digit_desc,NAICS_2017_2digit_code,NAICS_2017_2digit_desc,estimated_employment,employment_buckets,mainstreet,geometry,district,index_right,DISTRICT
735,736,42.376163,-71.039488,soledads fashion beauty,248 Meridian St,2128,812990,All Other Personal Services,81,Other Services,3.0,1 to 9,East Boston,POINT (-71.039488 42.376163),,0,1
736,737,42.370116,-71.038011,solano tax service,13 Chelsea St,2128,541213,Tax Preparation Services,54,"Professional, Scientific, and Technical Services",3.0,1 to 9,East Boston,POINT (-71.038011 42.370116),,0,1
737,738,42.375171,-71.038599,sofia's food enterprise,22 Central Sq,2128,722511,Full-Service Restaurants,72,Accommodation and Food Services,8.0,1 to 9,East Boston,POINT (-71.038599 42.375171),,0,1
738,739,42.375291,-71.038441,smile dental center,14 Bennington St,2128,621210,Offices of Dentists,62,Healthcare and Social Assistance,5.0,1 to 9,East Boston,POINT (-71.038441 42.375291),,0,1
739,740,42.375492,-71.037913,shree maruti inc,32 Bennington St,2128,0,,99,Undefined,0.0,Not Available,East Boston,POINT (-71.037913 42.375492),,0,1
740,741,42.369171,-71.03901,shine cleaning service inc,27 Maverick Sq,2128,561720,Janitorial Services,56,"Adminstrative, Support, Waste Management, and Remediation Services",5.0,1 to 9,East Boston,POINT (-71.03901 42.369171),,0,1
741,742,42.376073,-71.036179,shalom physical therapy,78 Bennington St,2128,621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologists",62,Healthcare and Social Assistance,4.0,1 to 9,East Boston,POINT (-71.036179 42.376073),,0,1
742,743,42.370358,-71.038548,salvy the florist,8 Chelsea St,2128,453110,Florists,45,Retail Trade,7.0,1 to 9,East Boston,POINT (-71.038548 42.370358),,0,1
743,744,42.370116,-71.038011,salvy florist,9 Chelsea St,2128,453110,Florists,45,Retail Trade,4.0,1 to 9,East Boston,POINT (-71.038011 42.370116),,0,1
744,745,42.370023,-71.038397,rsm us llp,1 Chelsea St,2128,541211,Offices of Certified Public Accountants,54,"Professional, Scientific, and Technical Services",700.0,100+,East Boston,POINT (-71.038397 42.370023),,0,1
745,746,42.375025,-71.037933,roma restaurant,19 Bennington St,2128,722511,Full-Service Restaurants,72,Accommodation and Food Services,8.0,1 to 9,East Boston,POINT (-71.037933 42.375025),,0,1
746,747,42.373618,-71.038858,rizos beauty salon,137 Meridian St,2128,812112,Beauty Salons,81,Other Services,4.0,1 to 9,East Boston,POINT (-71.038858 42.373618),,0,1
747,748,42.375716,-71.039245,ria financial service inc,232 Meridian St,2128,522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",52,Finance and Insurance,3.0,1 to 9,East Boston,POINT (-71.039245 42.375716),,0,1
748,749,42.37466,-71.03865,rey enterprises,7 Porter St,2128,453220,"Gift, Novelty, and Souvenir Stores",45,Retail Trade,3.0,1 to 9,East Boston,POINT (-71.03865 42.37466),,0,1
749,750,42.37545,-71.038749,restaurante monte cristo,36 Central Sq,2128,722511,Full-Service Restaurants,72,Accommodation and Food Services,8.0,1 to 9,East Boston,POINT (-71.038749 42.37545),,0,1
750,751,42.37466,-71.03865,reparacion de celulares,7 Porter St,2128,238990,All Other Specialty Trade Contractors,23,Construction,3.0,1 to 9,East Boston,POINT (-71.03865 42.37466),,0,1
751,752,42.369918,-71.037917,raining combos caldwell llc,154 Maverick St,2128,541110,Offices of Lawyers,54,"Professional, Scientific, and Technical Services",4.0,1 to 9,East Boston,POINT (-71.037917 42.369918),,0,1
752,753,42.375412,-71.038176,punto rojo,16 Bennington St,2128,722511,Full-Service Restaurants,72,Accommodation and Food Services,5.0,1 to 9,East Boston,POINT (-71.038176 42.375412),,0,1
753,754,42.373764,-71.038887,primelending,149 Meridian St,2128,522292,Real Estate Credit,52,Finance and Insurance,6.0,1 to 9,East Boston,POINT (-71.038887 42.373764),,0,1
754,755,42.375406,-71.040485,pollo campero,188 Border St,2128,722511,Full-Service Restaurants,72,Accommodation and Food Services,16.0,10 to 24,East Boston,POINT (-71.040485 42.375406),,0,1
755,756,42.374936,-71.038301,pmo trading,13 Bennington St,2128,523210,Securities and Commodity Exchanges,52,Finance and Insurance,10.0,10 to 24,East Boston,POINT (-71.038301 42.374936),,0,1
756,757,42.368978,-71.039209,pls financial,19 Maverick Sq,2128,523930,Investment Advice,52,Finance and Insurance,3.0,1 to 9,East Boston,POINT (-71.039209 42.368978),,0,1
757,758,42.368978,-71.039209,pls check cashers,19 Maverick Sq,2128,522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",52,Finance and Insurance,10.0,10 to 24,East Boston,POINT (-71.039209 42.368978),,0,1
758,759,42.371777,-71.038696,platinos hair salon,59 Meridian St,2128,812112,Beauty Salons,81,Other Services,4.0,1 to 9,East Boston,POINT (-71.038696 42.371777),,0,1
759,760,42.371777,-71.038696,platino's salon,59 Meridian St,2128,812112,Beauty Salons,81,Other Services,3.0,1 to 9,East Boston,POINT (-71.038696 42.371777),,0,1
760,761,42.375676,-71.037415,petruccelli & foster law offices,46 Bennington St,2128,541110,Offices of Lawyers,54,"Professional, Scientific, and Technical Services",4.0,1 to 9,East Boston,POINT (-71.037415 42.375676),,0,1
761,762,42.370408,-71.038517,petalos boutique floristeria,10 Chelsea St,2128,453110,Florists,45,Retail Trade,3.0,1 to 9,East Boston,POINT (-71.038517 42.370408),,0,1
762,763,42.373853,-71.039306,perlera real estate,142 Meridian St,2128,531210,Offices of Real Estate Agents and Brokers,53,Real Estate Rental and Leasing,3.0,1 to 9,East Boston,POINT (-71.039306 42.373853),,0,1
763,764,42.375717,-71.036393,peach's & cream,73 Bennington St,2128,311811,Retail Bakeries,31,Manufacturing,6.0,1 to 9,East Boston,POINT (-71.036393 42.375717),,0,1
764,765,42.373195,-71.038864,oxigeno beauty salon,123 Meridian St,2128,812112,Beauty Salons,81,Other Services,4.0,1 to 9,East Boston,POINT (-71.038864 42.373195),,0,1
765,766,42.369918,-71.037917,ospina/mejia inc,154 Maverick St,2128,0,,99,Undefined,0.0,Not Available,East Boston,POINT (-71.037917 42.369918),,0,1
766,767,42.370212,-71.039445,orlandi valuta financial service,123 Maverick St,2128,523930,Investment Advice,52,Finance and Insurance,9.0,1 to 9,East Boston,POINT (-71.039445 42.370212),,0,1
767,768,42.372442,-71.039346,omar oscar jewelry,100 Meridian St,2128,811490,Other Personal and Household Goods Repair and Maintenance,81,Other Services,4.0,1 to 9,East Boston,POINT (-71.039346 42.372442),,0,1
768,769,42.375171,-71.038599,oliveira's steakhouse-east boston,22 Central Sq,2128,722511,Full-Service Restaurants,72,Accommodation and Food Services,8.0,1 to 9,East Boston,POINT (-71.038599 42.375171),,0,1
769,770,42.370683,-71.038741,nube,19 Meridian St,2128,0,,99,Undefined,0.0,Not Available,East Boston,POINT (-71.038741 42.370683),,0,1
770,771,42.374746,-71.038271,north suffolk mental health association,14 Porter St,2128,622210,Psychiatric and Substance Abuse Hospitals,62,Healthcare and Social Assistance,41.0,25 to 49,East Boston,POINT (-71.038271 42.374746),,0,1
771,772,42.375212,-71.037506,north suffolk mental health,35 Bennington St,2128,621999,All Other Miscellaneous Ambulatory Health Care Services,62,Healthcare and Social Assistance,10.0,10 to 24,East Boston,POINT (-71.037506 42.375212),,0,1
772,773,42.374746,-71.038271,noodles island multi service agency,14 Porter St,2128,624190,Other Individual and Family Services,62,Healthcare and Social Assistance,30.0,25 to 49,East Boston,POINT (-71.038271 42.374746),,0,1
773,774,42.370181,-71.039376,nfarra2,127 Maverick St,2128,722511,Full-Service Restaurants,72,Accommodation and Food Services,8.0,1 to 9,East Boston,POINT (-71.039376 42.370181),,0,1
774,775,42.371017,-71.039424,new england wounded veterans,60 Paris St,2128,813410,Civic and Social Organizations,81,Other Services,3.0,1 to 9,East Boston,POINT (-71.039424 42.371017),,0,1
775,776,42.369322,-71.040261,neighborhood of affordbl hsng,184 Sumner St,2128,624190,Other Individual and Family Services,62,Healthcare and Social Assistance,11.0,10 to 24,East Boston,POINT (-71.040261 42.369322),,0,1
776,777,42.375923,-71.039345,nathaly's bakery inc,244 Meridian St,2128,311811,Retail Bakeries,31,Manufacturing,0.0,Not Available,East Boston,POINT (-71.039345 42.375923),,0,1
777,778,42.373793,-71.038801,my dental east boston pc,151 Meridian St,2128,621210,Offices of Dentists,62,Healthcare and Social Assistance,5.0,1 to 9,East Boston,POINT (-71.038801 42.373793),,0,1
778,779,42.37564,-71.039347,moneygram international,230 Meridian St,2128,522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",52,Finance and Insurance,3.0,1 to 9,East Boston,POINT (-71.039347 42.37564),,0,1
779,780,42.375929,-71.038948,mix restaurant,235 Meridian St,2128,722511,Full-Service Restaurants,72,Accommodation and Food Services,8.0,1 to 9,East Boston,POINT (-71.038948 42.375929),,0,1
780,781,42.375064,-71.038048,miss mello psychic readings,17 Bennington St,2128,621399,Offices of All Other Miscellaneous Health Practitioners,62,Healthcare and Social Assistance,1.0,1 to 9,East Boston,POINT (-71.038048 42.375064),,0,1
781,782,42.370212,-71.039445,minas brazil,123 Maverick St,2128,522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",52,Finance and Insurance,1.0,1 to 9,East Boston,POINT (-71.039445 42.370212),,0,1
782,783,42.371524,-71.038818,mi rancho restaurant,45 Meridian St,2128,722511,Full-Service Restaurants,72,Accommodation and Food Services,4.0,1 to 9,East Boston,POINT (-71.038818 42.371524),,0,1
783,784,42.375412,-71.038176,mi rancho restaurant,30 Bennington St,2128,722511,Full-Service Restaurants,72,Accommodation and Food Services,8.0,1 to 9,East Boston,POINT (-71.038176 42.375412),,0,1
784,785,42.375343,-71.037242,metro services,43 Bennington St,2128,517312,Wireless Telecommunications Carriers (except Satellite),51,Information,1.0,1 to 9,East Boston,POINT (-71.037242 42.375343),,0,1
785,786,42.376073,-71.036179,metro boston insurance,78 Bennington St,2128,524210,Insurance Agencies and Brokerages,52,Finance and Insurance,4.0,1 to 9,East Boston,POINT (-71.036179 42.376073),,0,1
786,787,42.373208,-71.038846,meridian wholesaler inc,121 Meridian St,2128,423920,Toy and Hobby Goods and Supplies Merchant Wholesalers,42,Wholesale Trade,8.0,1 to 9,East Boston,POINT (-71.038846 42.373208),,0,1
787,788,42.372442,-71.039346,meridian rooms inc,100 Meridian St,2128,531110,Lessors of Residential Buildings and Dwellings,53,Real Estate Rental and Leasing,1.0,1 to 9,East Boston,POINT (-71.039346 42.372442),,0,1
788,789,42.373208,-71.038846,meridian food market,121 Meridian St,2128,445110,Supermarkets and Other Grocery (except Convenience) Stores,44,Retail Trade,7.0,1 to 9,East Boston,POINT (-71.038846 42.373208),,0,1
789,790,42.370585,-71.039207,meridian financial service inc,10 Meridian St,2128,523930,Investment Advice,52,Finance and Insurance,9.0,1 to 9,East Boston,POINT (-71.039207 42.370585),,0,1
790,791,42.373855,-71.03886,meridian 155,155 Meridian St,2128,722515,Snack and Nonalcoholic Beverage Bars,72,Accommodation and Food Services,2.0,1 to 9,East Boston,POINT (-71.03886 42.373855),,0,1
791,792,42.371636,-71.038778,meridain dr dental,55 Meridian St,2128,621210,Offices of Dentists,62,Healthcare and Social Assistance,6.0,1 to 9,East Boston,POINT (-71.038778 42.371636),,0,1
792,793,42.374446,-71.04033,mcdonald's,178 Border St,2128,722511,Full-Service Restaurants,72,Accommodation and Food Services,28.0,25 to 49,East Boston,POINT (-71.04033 42.374446),,0,1
793,794,42.369918,-71.037917,maverick's,154 Maverick St,2128,722511,Full-Service Restaurants,72,Accommodation and Food Services,8.0,1 to 9,East Boston,POINT (-71.037917 42.369918),,0,1
794,795,42.369918,-71.037917,marva's place,154 Maverick St,2128,812112,Beauty Salons,81,Other Services,3.0,1 to 9,East Boston,POINT (-71.037917 42.369918),,0,1
795,796,42.375406,-71.040485,marshalls,200 Border St,2128,452210,Department Stores,45,Retail Trade,2.0,1 to 9,East Boston,POINT (-71.040485 42.375406),,0,1
796,797,42.369918,-71.037917,marquis design,154 Maverick St,2128,541430,Graphic Design Services,54,"Professional, Scientific, and Technical Services",2.0,1 to 9,East Boston,POINT (-71.037917 42.369918),,0,1
797,798,42.369725,-71.039606,market cafe,20 Maverick Sq,2128,722511,Full-Service Restaurants,72,Accommodation and Food Services,8.0,1 to 9,East Boston,POINT (-71.039606 42.369725),,0,1
798,799,42.371274,-71.039342,margarita tax services,50 Meridian St,2128,541213,Tax Preparation Services,54,"Professional, Scientific, and Technical Services",2.0,1 to 9,East Boston,POINT (-71.039342 42.371274),,0,1
799,800,42.375787,-71.038919,manny cafe,237 Meridian St,2128,722511,Full-Service Restaurants,72,Accommodation and Food Services,8.0,1 to 9,East Boston,POINT (-71.038919 42.375787),,0,1
800,801,42.375827,-71.039563,madrag,221 Border St,2128,448140,Family Clothing Stores,44,Retail Trade,3.0,1 to 9,East Boston,POINT (-71.039563 42.375827),,0,1
801,802,42.370028,-71.039292,m p & co tax & financial services inc,36 Maverick Sq,2128,541213,Tax Preparation Services,54,"Professional, Scientific, and Technical Services",3.0,1 to 9,East Boston,POINT (-71.039292 42.370028),,0,1
802,803,42.373761,-71.039264,los primos barbershop,136 Meridian St,2128,812111,Barber Shops,81,Other Services,6.0,1 to 9,East Boston,POINT (-71.039264 42.373761),,0,1
803,804,42.370547,-71.038747,los paisanos market llc,11 Meridian St,2128,445120,Convenience Stores,44,Retail Trade,1.0,1 to 9,East Boston,POINT (-71.038747 42.370547),,0,1
804,805,42.370602,-71.038748,los arrieros,13 Meridian St,2128,722511,Full-Service Restaurants,72,Accommodation and Food Services,3.0,1 to 9,East Boston,POINT (-71.038748 42.370602),,0,1
805,806,42.375372,-71.037183,lomba driving school,45 Bennington St,2128,611692,Automobile Driving Schools,61,Educational Services,3.0,1 to 9,East Boston,POINT (-71.037183 42.375372),,0,1
806,807,42.375018,-71.038137,liquors,11 Bennington St,2128,445310,"Beer, Wine, and Liquor Stores",44,Retail Trade,4.0,1 to 9,East Boston,POINT (-71.038137 42.375018),,0,1
807,808,42.372442,-71.039346,lilly's nails & waxing,100 Meridian St,2128,812113,Nail Salons,81,Other Services,3.0,1 to 9,East Boston,POINT (-71.039346 42.372442),,0,1
808,809,42.375406,-71.040485,liberty plaza realty,220 Border St,2128,531210,Offices of Real Estate Agents and Brokers,53,Real Estate Rental and Leasing,6.0,1 to 9,East Boston,POINT (-71.040485 42.375406),,0,1
809,810,42.371274,-71.039342,liberia cristiana,50 Meridian St,2128,451211,Book Stores,45,Retail Trade,4.0,1 to 9,East Boston,POINT (-71.039342 42.371274),,0,1
810,811,42.371524,-71.038818,ledan inc,45 Meridian St,2128,722511,Full-Service Restaurants,72,Accommodation and Food Services,8.0,1 to 9,East Boston,POINT (-71.038818 42.371524),,0,1
811,812,42.375018,-71.038137,leanmax nutrition center,15 Bennington St,2128,621399,Offices of All Other Miscellaneous Health Practitioners,62,Healthcare and Social Assistance,2.0,1 to 9,East Boston,POINT (-71.038137 42.375018),,0,1
812,813,42.370683,-71.038741,law office of robert a constatino pc,19 Meridian St,2128,541110,Offices of Lawyers,54,"Professional, Scientific, and Technical Services",2.0,1 to 9,East Boston,POINT (-71.038741 42.370683),,0,1
813,814,42.371274,-71.039342,law office of dr francisco navarro,50 Meridian St,2128,541110,Offices of Lawyers,54,"Professional, Scientific, and Technical Services",1.0,1 to 9,East Boston,POINT (-71.039342 42.371274),,0,1
814,815,42.375025,-71.037933,laterrasa,19 Bennington St,2128,722511,Full-Service Restaurants,72,Accommodation and Food Services,5.0,1 to 9,East Boston,POINT (-71.037933 42.375025),,0,1
815,816,42.370116,-71.038011,las palmas market,13 Chelsea St,2128,452319,All Other General Merchandise Stores,45,Retail Trade,3.0,1 to 9,East Boston,POINT (-71.038011 42.370116),,0,1
816,817,42.368929,-71.039245,las americas travel,9 Maverick Sq,2128,561510,Travel Agencies,56,"Adminstrative, Support, Waste Management, and Remediation Services",1.0,1 to 9,East Boston,POINT (-71.039245 42.368929),,0,1
817,818,42.374376,-71.038307,la tienda jeans,21 Porter St,2128,236220,Commercial and Institutional Building Construction,23,Construction,7.0,1 to 9,East Boston,POINT (-71.038307 42.374376),,0,1
818,819,42.369955,-71.038046,la tia tobacco & misc,148 Maverick St,2128,453991,Tobacco Stores,45,Retail Trade,2.0,1 to 9,East Boston,POINT (-71.038046 42.369955),,0,1
819,820,42.369918,-71.037917,la tia smoke shop,154 Maverick St,2128,453991,Tobacco Stores,45,Retail Trade,2.0,1 to 9,East Boston,POINT (-71.037917 42.369918),,0,1
820,821,42.375025,-71.037933,la terraza bar restaurant,19 Bennington St,2128,722511,Full-Service Restaurants,72,Accommodation and Food Services,8.0,1 to 9,East Boston,POINT (-71.037933 42.375025),,0,1
821,822,42.3701,-71.039234,la sultana bakery,40 Maverick Sq,2128,311811,Retail Bakeries,31,Manufacturing,6.0,1 to 9,East Boston,POINT (-71.039234 42.3701),,0,1
822,823,42.3761,-71.036116,la reina cafeteria,80 Bennington St,2128,722511,Full-Service Restaurants,72,Accommodation and Food Services,2.0,1 to 9,East Boston,POINT (-71.036116 42.3761),,0,1
823,824,42.373989,-71.039263,la hacienda restaurant,150 Meridian St,2128,722511,Full-Service Restaurants,72,Accommodation and Food Services,12.0,10 to 24,East Boston,POINT (-71.039263 42.373989),,0,1
824,825,42.375206,-71.037603,la guanaquita boutique,31 Bennington St,2128,448120,Women's Clothing Stores,44,Retail Trade,2.0,1 to 9,East Boston,POINT (-71.037603 42.375206),,0,1
825,826,42.374376,-71.038307,la guanaquita boutique,21 Porter St,2128,448120,Women's Clothing Stores,44,Retail Trade,2.0,1 to 9,East Boston,POINT (-71.038307 42.374376),,0,1
826,827,42.375171,-71.038599,la gran manzana,22 Central Sq,2128,722511,Full-Service Restaurants,72,Accommodation and Food Services,8.0,1 to 9,East Boston,POINT (-71.038599 42.375171),,0,1
827,828,42.375824,-71.039345,la esperanza market,238 Meridian St,2128,445120,Convenience Stores,44,Retail Trade,2.0,1 to 9,East Boston,POINT (-71.039345 42.375824),,0,1
828,829,42.37561,-71.03939,la comunidad tax service,38 Central Sq,2128,541213,Tax Preparation Services,54,"Professional, Scientific, and Technical Services",1.0,1 to 9,East Boston,POINT (-71.03939 42.37561),,0,1
829,830,42.376309,-71.038934,la casa del pan de bono,271 Meridian St,2128,0,,99,Undefined,0.0,Not Available,East Boston,POINT (-71.038934 42.376309),,0,1
830,831,42.375492,-71.037913,la bendicion,32 Bennington St,2128,445110,Supermarkets and Other Grocery (except Convenience) Stores,44,Retail Trade,2.0,1 to 9,East Boston,POINT (-71.037913 42.375492),,0,1
831,832,42.371777,-71.038696,la abundansia,59 Meridian St,2128,722511,Full-Service Restaurants,72,Accommodation and Food Services,8.0,1 to 9,East Boston,POINT (-71.038696 42.371777),,0,1
832,833,42.375325,-71.037314,karen market,41 Bennington St,2128,445110,Supermarkets and Other Grocery (except Convenience) Stores,44,Retail Trade,1.0,1 to 9,East Boston,POINT (-71.037314 42.375325),,0,1
833,834,42.375325,-71.037314,karen food market,41 Bennington St,2128,445120,Convenience Stores,44,Retail Trade,2.0,1 to 9,East Boston,POINT (-71.037314 42.375325),,0,1
834,835,42.375721,-71.040451,kappy's liquors,216 Border St,2128,445310,"Beer, Wine, and Liquor Stores",44,Retail Trade,12.0,10 to 24,East Boston,POINT (-71.040451 42.375721),,0,1
835,836,42.375721,-71.040451,kappy's fine wine & spirits,216 Border St,2128,445310,"Beer, Wine, and Liquor Stores",44,Retail Trade,0.0,Not Available,East Boston,POINT (-71.040451 42.375721),,0,1
836,837,42.375953,-71.036664,juan f esquivel electric,64 Bennington St,2128,238210,Electrical Contractors and Other Wiring Installation Contractors,23,Construction,4.0,1 to 9,East Boston,POINT (-71.036664 42.375953),,0,1
837,838,42.375124,-71.038565,joyerias sofia y variedades,8 Bennington St,2128,0,,99,Undefined,0.0,Not Available,East Boston,POINT (-71.038565 42.375124),,0,1
