latitude,longitude,business_name,street_address,zip,NAICS_2017_6digit_code,NAICS_2017_6digit_desc,NAICS_2017_2digit_code,NAICS_2017_2digit_desc,estimated_employment,employment_buckets,mainstreet,geometry,district,index_right,DISTRICT
42.311327,-71.080831,wingz + tingz,388 Blue Hill Ave,2121,722511,Full-Service Restaurants,72,Accommodation and Food Services,5.0,1 to 9,Grove Hall,POINT (-71.080831 42.311327),,6,4
42.305682,-71.081282,washington columbia li,95 Washington St,2121,531210,Offices of Real Estate Agents and Brokers,53,Real Estate Rental and Leasing,3.0,1 to 9,Grove Hall,POINT (-71.081282 42.305682),,6,4
42.305682,-71.081282,washington columbia ii apartments,95 Washington St,2121,0,,99,Undefined,5.0,1 to 9,Grove Hall,POINT (-71.081282 42.305682),,6,4
42.305404,-71.081098,washington columbia ii,102 Columbia Rd,2121,0,,99,Undefined,0.0,Not Available,Grove Hall,POINT (-71.081098 42.305404),,6,4
42.307953,-71.083183,vip wireless,482 Blue Hill Ave,2121,517312,Wireless Telecommunications Carriers (except Satellite),51,Information,2.0,1 to 9,Grove Hall,POINT (-71.083183 42.307953),,6,4
42.307361,-71.082764,upscale home solutions inc,23 Washington St,2121,0,,99,Undefined,0.0,Not Available,Grove Hall,POINT (-71.082764 42.307361),,6,4
42.3082,-71.0828,transitional remedies solutions,320B Blue Hill Ave,2121,813319,Other Social Advocacy Organizations,81,Other Services,9.0,1 to 9,Grove Hall,POINT (-71.0828 42.3082),,6,4
42.307847,-71.083035,touch of class,11 Washington St,2121,812112,Beauty Salons,81,Other Services,2.0,1 to 9,Grove Hall,POINT (-71.083035 42.307847),,6,4
42.3082,-71.0828,touch fm,5 Cheney St,2121,515112,Radio Stations,51,Information,8.0,1 to 9,Grove Hall,POINT (-71.0828 42.3082),,6,4
42.307846,-71.082985,tiffany nail spa,9 Washington St,2121,812113,Nail Salons,81,Other Services,3.0,1 to 9,Grove Hall,POINT (-71.082985 42.307846),,6,4
42.307953,-71.083183,teleprime llc,482 Blue Hill Ave,2121,237990,Other Heavy and Civil Engineering Construction,23,Construction,0.0,Not Available,Grove Hall,POINT (-71.083183 42.307953),,6,4
42.311327,-71.080831,tasty caribbean,388 Blue Hill Ave,2121,722511,Full-Service Restaurants,72,Accommodation and Food Services,8.0,1 to 9,Grove Hall,POINT (-71.080831 42.311327),,6,4
42.307069,-71.082074,sun pizza,46 Washington St,2121,722511,Full-Service Restaurants,72,Accommodation and Food Services,2.0,1 to 9,Grove Hall,POINT (-71.082074 42.307069),,6,4
42.3082,-71.0828,stone & skillet,198 Quincy St,2121,311812,Commercial Bakeries,31,Manufacturing,25.0,25 to 49,Grove Hall,POINT (-71.0828 42.3082),,6,4
42.312811,-71.079707,spots cleaners & tailoring inc,336 Blue Hill Ave,2121,812320,Drycleaning and Laundry Services (except Coin-Operated),81,Other Services,1.0,1 to 9,Grove Hall,POINT (-71.079707 42.312811),,6,4
42.3082,-71.0828,specialized rigging & tree,121 Townsend St,2121,561730,Landscaping Services,56,"Adminstrative, Support, Waste Management, and Remediation Services",1.0,1 to 9,Grove Hall,POINT (-71.0828 42.3082),,6,4
42.311192,-71.081009,sparkle & shoes & accessories,73 Brunswick St,2121,448210,Shoe Stores,44,Retail Trade,5.0,1 to 9,Grove Hall,POINT (-71.081009 42.311192),,6,4
42.308081,-71.08237,simple site solutions llc,24 Washington St,2121,0,,99,Undefined,0.0,Not Available,Grove Hall,POINT (-71.08237 42.308081),,6,4
42.308042,-71.083157,salon bounce,480 Blue Hill Ave,2121,812112,Beauty Salons,81,Other Services,2.0,1 to 9,Grove Hall,POINT (-71.083157 42.308042),,6,4
42.303842,-71.084732,safwan enterprise inc,600 Blue Hill Ave,2121,0,,99,Undefined,0.0,Not Available,Grove Hall,POINT (-71.084732 42.303842),,6,4
42.3082,-71.0828,roxbury printshop,199 Humboldt Ave,2121,323111,Commercial Printing (except Screen and Books),32,Manufacturing,3.0,1 to 9,Grove Hall,POINT (-71.0828 42.3082),,6,4
42.313512,-71.079241,quincy geneva housing corporation,320 Blue Hill Ave,2121,0,,99,Undefined,0.0,Not Available,Grove Hall,POINT (-71.079241 42.313512),,6,4
42.3082,-71.0828,pure oasis,430 Blue Hill Ave,2121,453998,All Other Miscellaneous Store Retailers (except Tobacco Stores),45,Retail Trade,2.0,1 to 9,Grove Hall,POINT (-71.0828 42.3082),,6,4
42.3082,-71.0828,"project right, inc",320A Blue Hill Ave,2121,624190,Other Individual and Family Services,62,Healthcare and Social Assistance,4.0,1 to 9,Grove Hall,POINT (-71.0828 42.3082),,6,4
42.308081,-71.08237,prince hall grand lodge,24 Washington St,2121,813410,Civic and Social Organizations,81,Other Services,6.0,1 to 9,Grove Hall,POINT (-71.08237 42.308081),,6,4
42.307953,-71.083183,porta classica,478 Blue Hill Ave,2121,448110,Men's Clothing Stores,44,Retail Trade,7.0,1 to 9,Grove Hall,POINT (-71.083183 42.307953),,6,4
42.303658,-71.084763,pls check cashers,610 Blue Hill Ave,2121,522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",52,Finance and Insurance,10.0,10 to 24,Grove Hall,POINT (-71.084763 42.303658),,6,4
42.307008,-71.083818,peabody properties,504 Blue Hill Ave,2121,531210,Offices of Real Estate Agents and Brokers,53,Real Estate Rental and Leasing,5.0,1 to 9,Grove Hall,POINT (-71.083818 42.307008),,6,4
42.309727,-71.082169,paradise nails,438 Blue Hill Ave,2121,812113,Nail Salons,81,Other Services,3.0,1 to 9,Grove Hall,POINT (-71.082169 42.309727),,6,4
42.3082,-71.0828,"oneunited bank (dorchester, ma)",648 Warren St,2121,522110,Commercial Banking,52,Finance and Insurance,50.0,50 to 99,Grove Hall,POINT (-71.0828 42.3082),,6,4
42.309511,-71.08231,new york fried chicken,442 Blue Hill Ave,2121,722511,Full-Service Restaurants,72,Accommodation and Food Services,3.0,1 to 9,Grove Hall,POINT (-71.08231 42.309511),,6,4
42.310979,-71.081184,mott macdonald,400 Blue Hill Ave,2121,541330,Engineering Services,54,"Professional, Scientific, and Technical Services",34.0,25 to 49,Grove Hall,POINT (-71.081184 42.310979),,6,4
42.307137,-71.083719,millennium market,496 Blue Hill Ave,2121,445110,Supermarkets and Other Grocery (except Convenience) Stores,44,Retail Trade,4.0,1 to 9,Grove Hall,POINT (-71.083719 42.307137),,6,4
42.313617,-71.079116,mentoring security inc,318 Blue Hill Ave,2121,423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",42,Wholesale Trade,8.0,1 to 9,Grove Hall,POINT (-71.079116 42.313617),,6,4
42.313617,-71.079116,matthew's dumpsters,318 Blue Hill Ave,2121,484110,"General Freight Trucking, Local",48,Transportation and Warehosuing,3.0,1 to 9,Grove Hall,POINT (-71.079116 42.313617),,6,4
42.3082,-71.0828,madrag,452 Blue Hill Ave,2121,448140,Family Clothing Stores,44,Retail Trade,3.0,1 to 9,Grove Hall,POINT (-71.0828 42.3082),,6,4
42.312757,-71.079755,macoa barber shop,338 Blue Hill Ave,2121,812111,Barber Shops,81,Other Services,5.0,1 to 9,Grove Hall,POINT (-71.079755 42.312757),,6,4
42.309971,-71.081839,los magicos barbershop-mltsrvc,436 Blue Hill Ave,2121,812111,Barber Shops,81,Other Services,2.0,1 to 9,Grove Hall,POINT (-71.081839 42.309971),,6,4
42.306273,-71.081936,lisa martin real estate,59 Washington St,2121,531210,Offices of Real Estate Agents and Brokers,53,Real Estate Rental and Leasing,5.0,1 to 9,Grove Hall,POINT (-71.081936 42.306273),,6,4
42.305404,-71.081098,linking hands day care center,102 Columbia Rd,2121,624410,Child Day Care Services,62,Healthcare and Social Assistance,7.0,1 to 9,Grove Hall,POINT (-71.081098 42.305404),,6,4
42.312022,-71.080342,lindsey & associates,350 Blue Hill Ave,2121,541110,Offices of Lawyers,54,"Professional, Scientific, and Technical Services",4.0,1 to 9,Grove Hall,POINT (-71.080342 42.312022),,6,4
42.308483,-71.082725,leslie transportation service,2 Washington St,2121,485999,All Other Transit and Ground Passenger Transportation,48,Transportation and Warehosuing,1.0,1 to 9,Grove Hall,POINT (-71.082725 42.308483),,6,4
42.307568,-71.0833,kujichagulia wellness center,484 Blue Hill Ave,2121,621999,All Other Miscellaneous Ambulatory Health Care Services,62,Healthcare and Social Assistance,0.0,Not Available,Grove Hall,POINT (-71.0833 42.307568),,6,4
42.305927,-71.081482,kessler mcguiness & associates,69 Washington St,2121,541310,Architectural Services,54,"Professional, Scientific, and Technical Services",0.0,Not Available,Grove Hall,POINT (-71.081482 42.305927),,6,4
42.306576,-71.081851,jeremiah e burke high school,60 Washington St,2121,611110,Elementary and Secondary Schools,61,Educational Services,91.0,50 to 99,Grove Hall,POINT (-71.081851 42.306576),,6,4
42.3082,-71.0828,jaz hair extensions,59 Cheney St,2121,812199,Other Personal Care Services,81,Other Services,3.0,1 to 9,Grove Hall,POINT (-71.0828 42.3082),,6,4
