latitude,longitude,business_name,street_address,zip,NAICS_2017_6digit_code,NAICS_2017_6digit_desc,NAICS_2017_2digit_code,NAICS_2017_2digit_desc,estimated_employment,employment_buckets,mainstreet,geometry,district,index_right,DISTRICT
42.336844,-71.077054,western union agent location,1747 Washington St,2118,522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",52,Finance and Insurance,2.0,1 to 9,Washington St Gateway,POINT (-71.077054 42.336844),,2,7
42.338253,-71.074959,western union agent location,1603 Washington St,2118,522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",52,Finance and Insurance,3.0,1 to 9,Washington St Gateway,POINT (-71.074959 42.338253),,2,7
42.336844,-71.077054,weichert realtors-hudson,1745 Washington St,2118,531210,Offices of Real Estate Agents and Brokers,53,Real Estate Rental and Leasing,5.0,1 to 9,Washington St Gateway,POINT (-71.077054 42.336844),,2,7
42.338253,-71.074959,walgreens,1603 Washington St,2118,446110,Pharmacies and Drug Stores,44,Retail Trade,21.0,10 to 24,Washington St Gateway,POINT (-71.074959 42.338253),,2,7
42.336844,-71.077054,ups access point location,1745 Washington St,2118,541860,Direct Mail Advertising,54,"Professional, Scientific, and Technical Services",13.0,10 to 24,Washington St Gateway,POINT (-71.077054 42.336844),,2,7
42.335425,-71.078631,top notch barbers,1855 Washington St,2118,812111,Barber Shops,81,Other Services,2.0,1 to 9,Washington St Gateway,POINT (-71.078631 42.335425),,2,7
42.335425,-71.078631,top notch,1855 Washington St,2118,812111,Barber Shops,81,Other Services,2.0,1 to 9,Washington St Gateway,POINT (-71.078631 42.335425),,2,7
42.336366,-71.077774,the wig shop,1783 Washington St,2118,448150,Clothing Accessories Stores,44,Retail Trade,2.0,1 to 9,Washington St Gateway,POINT (-71.077774 42.336366),,2,7
42.334645,-71.078788,suffolk jewelers & pawnbrokers,1888 Washington St,2118,448310,Jewelry Stores,44,Retail Trade,13.0,10 to 24,Washington St Gateway,POINT (-71.078788 42.334645),,2,7
42.337778,-71.075495,squashbusters,1661 Washington St,2118,0,,99,Undefined,0.0,Not Available,Washington St Gateway,POINT (-71.075495 42.337778),,2,7
42.338291,-71.074921,south end community health center,1601 Washington St,2118,623110,Nursing Care Facilities (Skilled Nursing Facilities),62,Healthcare and Social Assistance,24.0,10 to 24,Washington St Gateway,POINT (-71.074921 42.338291),,2,7
42.338291,-71.074921,south end community dentistry,1601 Washington St,2118,621493,Freestanding Ambulatory Surgical and Emergency Centers,62,Healthcare and Social Assistance,15.0,10 to 24,Washington St Gateway,POINT (-71.074921 42.338291),,2,7
42.336844,-71.077054,sleeping dog properties inc,1745 Washington St,2118,531210,Offices of Real Estate Agents and Brokers,53,Real Estate Rental and Leasing,7.0,1 to 9,Washington St Gateway,POINT (-71.077054 42.336844),,2,7
42.335932,-71.077884,shamso hair studio & spa,1807 Washington St,2118,812112,Beauty Salons,81,Other Services,3.0,1 to 9,Washington St Gateway,POINT (-71.077884 42.335932),,2,7
42.337078,-71.076614,seiyo sushi & wine shop,1721 Washington St,2118,722511,Full-Service Restaurants,72,Accommodation and Food Services,5.0,1 to 9,Washington St Gateway,POINT (-71.076614 42.337078),,2,7
42.336172,-71.078259,roxbury corners parmelee corp,134 Northampton St,2118,531110,Lessors of Residential Buildings and Dwellings,53,Real Estate Rental and Leasing,5.0,1 to 9,Washington St Gateway,POINT (-71.078259 42.336172),,2,7
42.333469,-71.081055,residence inn boston downtown/south end,2001 Washington St,2119,721110,Hotels (except Casino Hotels) and Motels,72,Accommodation and Food Services,30.0,25 to 49,Washington St Gateway,POINT (-71.081055 42.333469),,2,7
42.338509,-71.075264,pain spine & rehab consulting,12 Cumston St,2118,624310,Vocational Rehabilitation Services,62,Healthcare and Social Assistance,14.0,10 to 24,Washington St Gateway,POINT (-71.075264 42.338509),,2,7
42.336844,-71.077054,olympia flower store,1745 Washington St,2118,453110,Florists,45,Retail Trade,5.0,1 to 9,Washington St Gateway,POINT (-71.077054 42.336844),,2,7
42.33425,-71.079258,nadaaa inc,1920 Washington St,2118,541310,Architectural Services,54,"Professional, Scientific, and Technical Services",30.0,25 to 49,Washington St Gateway,POINT (-71.079258 42.33425),,2,7
42.336844,-71.077054,music associates,1745 Washington St,2118,512230,Music Publishers,51,Information,5.0,1 to 9,Washington St Gateway,POINT (-71.077054 42.336844),,2,7
42.335425,-71.078631,mount horeb organization,1855 Washington St,2118,813410,Civic and Social Organizations,81,Other Services,4.0,1 to 9,Washington St Gateway,POINT (-71.078631 42.335425),,2,7
42.335425,-71.078631,mandela residents co-op associates,1855 Washington St,2118,813910,Business Associations,81,Other Services,2.0,1 to 9,Washington St Gateway,POINT (-71.078631 42.335425),,2,7
42.335425,-71.078631,mandela preservation llc,1855 Washington St,2118,0,,99,Undefined,5.0,1 to 9,Washington St Gateway,POINT (-71.078631 42.335425),,2,7
42.335798,-71.078168,kushtia inc,1813 Washington St,2118,445120,Convenience Stores,44,Retail Trade,2.0,1 to 9,Washington St Gateway,POINT (-71.078168 42.335798),,2,7
42.334154,-71.079312,kennedy desing build,1946 Washington St,2118,236220,Commercial and Institutional Building Construction,23,Construction,8.0,1 to 9,Washington St Gateway,POINT (-71.079312 42.334154),,2,7
42.337932,-71.075596,jaho coffee & tea,1651 Washington St,2118,722515,Snack and Nonalcoholic Beverage Bars,72,Accommodation and Food Services,8.0,1 to 9,Washington St Gateway,POINT (-71.075596 42.337932),,2,7
42.335932,-71.077884,international translation co,1807 Washington St,2118,541930,Translation and Interpretation Services,54,"Professional, Scientific, and Technical Services",5.0,1 to 9,Washington St Gateway,POINT (-71.077884 42.335932),,2,7
42.338075,-71.075393,interfaith housing,68 W Concord St,2118,624190,Other Individual and Family Services,62,Healthcare and Social Assistance,9.0,1 to 9,Washington St Gateway,POINT (-71.075393 42.338075),,2,7
42.336844,-71.077054,hudson morgan group llc,1745 Washington St,2118,522292,Real Estate Credit,52,Finance and Insurance,7.0,1 to 9,Washington St Gateway,POINT (-71.077054 42.336844),,2,7
42.33845,-71.074969,hood design,1597 Washington St,2118,541990,"All Other Professional, Scientific, and Technical Services",54,"Professional, Scientific, and Technical Services",3.0,1 to 9,Washington St Gateway,POINT (-71.074969 42.33845),,2,7
42.334862,-71.079037,hattie b cooper commumnity center,1891 Washington St,2118,624410,Child Day Care Services,62,Healthcare and Social Assistance,25.0,25 to 49,Washington St Gateway,POINT (-71.079037 42.334862),,2,7
42.335515,-71.078015,hair stop beauty supply,1826 Washington St,2118,812112,Beauty Salons,81,Other Services,4.0,1 to 9,Washington St Gateway,POINT (-71.078015 42.335515),,2,7
42.336411,-71.077606,hair jackpot inc,1771 Washington St,2118,812112,Beauty Salons,81,Other Services,2.0,1 to 9,Washington St Gateway,POINT (-71.077606 42.336411),,2,7
42.334999,-71.077552,grant manor lp,20 E Lenox St,2118,0,,99,Undefined,0.0,Not Available,Washington St Gateway,POINT (-71.077552 42.334999),,2,7
42.335608,-71.0779,grant manor apartments,1812 Washington St,2118,531110,Lessors of Residential Buildings and Dwellings,53,Real Estate Rental and Leasing,6.0,1 to 9,Washington St Gateway,POINT (-71.0779 42.335608),,2,7
42.334361,-71.07913,grant ame church,1906 Washington St,2118,813110,Religious Organizations,81,Other Services,1.0,1 to 9,Washington St Gateway,POINT (-71.07913 42.334361),,2,7
42.333798,-71.079876,foust clapp management inc,1960 Washington St,2118,561110,Office Administrative Services,56,"Adminstrative, Support, Waste Management, and Remediation Services",5.0,1 to 9,Washington St Gateway,POINT (-71.079876 42.333798),,2,7
42.33836,-71.074821,flour bakery,1595 Washington St,2118,311811,Retail Bakeries,31,Manufacturing,30.0,25 to 49,Washington St Gateway,POINT (-71.074821 42.33836),,2,7
42.333251,-71.079716,first student inc,2000 Washington St,2119,485510,Charter Bus Industry,48,Transportation and Warehosuing,10.0,10 to 24,Washington St Gateway,POINT (-71.079716 42.333251),,2,7
42.338075,-71.075393,expressive life,68 W Concord St,2118,711190,Other Performing Arts Companies,71,"Arts, Entertainment, and Recreation",7.0,1 to 9,Washington St Gateway,POINT (-71.075393 42.338075),,2,7
42.337078,-71.076614,equator restaurant,1721 Washington St,2118,722511,Full-Service Restaurants,72,Accommodation and Food Services,10.0,10 to 24,Washington St Gateway,POINT (-71.076614 42.337078),,2,7
42.338023,-71.075053,don quijote,1641 Washington St,2118,445120,Convenience Stores,44,Retail Trade,2.0,1 to 9,Washington St Gateway,POINT (-71.075053 42.338023),,2,7
