latitude,longitude,business_name,street_address,zip,NAICS_2017_6digit_code,NAICS_2017_6digit_desc,NAICS_2017_2digit_code,NAICS_2017_2digit_desc,estimated_employment,employment_buckets,mainstreet,geometry,district,index_right,DISTRICT
42.322974,-71.104634,zarash llc,319 Centre St,2130,452319,All Other General Merchandise Stores,45,Retail Trade,0.0,Not Available,Three Squares,POINT (-71.104634 42.322974),,5,6
42.322755,-71.103061,young kong restauranrt,300 Centre St,2130,722511,Full-Service Restaurants,72,Accommodation and Food Services,4.0,1 to 9,Three Squares,POINT (-71.103061 42.322755),,5,6
42.32136,-71.11089,whole foods market,413 Centre St,2130,445110,Supermarkets and Other Grocery (except Convenience) Stores,44,Retail Trade,150.0,100+,Three Squares,POINT (-71.11089 42.32136),,5,6
42.323,-71.1032,western union agent location,301 Centre St,2130,522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",52,Finance and Insurance,2.0,1 to 9,Three Squares,POINT (-71.1032 42.323),,5,6
42.320656,-71.111128,"volunteers of america, inc",441 Centre St,2130,624190,Other Individual and Family Services,62,Healthcare and Social Assistance,10.0,10 to 24,Three Squares,POINT (-71.111128 42.320656),,5,6
42.320656,-71.111128,"volunteers of america of massachusetts, inc",441 Centre St,2130,0,,99,Undefined,0.0,Not Available,Three Squares,POINT (-71.111128 42.320656),,5,6
42.320656,-71.111128,voa somerville vet housing,441 Centre St,2130,813410,Civic and Social Organizations,81,Other Services,3.0,1 to 9,Three Squares,POINT (-71.111128 42.320656),,5,6
42.320656,-71.111128,voa malden manager inc,441 Centre St,2130,0,,99,Undefined,0.0,Not Available,Three Squares,POINT (-71.111128 42.320656),,5,6
42.321955,-71.109278,vesse 1,378 Centre St,2130,512110,Motion Picture and Video Production,51,Information,3.0,1 to 9,Three Squares,POINT (-71.109278 42.321955),,5,6
42.322207,-71.108393,vecina beauty supply,364 Centre St,2130,446120,"Cosmetics, Beauty Supplies, and Perfume Stores",44,Retail Trade,2.0,1 to 9,Three Squares,POINT (-71.108393 42.322207),,5,6
42.322199,-71.107796,vasallo's mens fashions,362 Centre St,2130,448140,Family Clothing Stores,44,Retail Trade,1.0,1 to 9,Three Squares,POINT (-71.107796 42.322199),,5,6
42.322782,-71.102675,ups access point location,298 Centre St,2130,541860,Direct Mail Advertising,54,"Professional, Scientific, and Technical Services",13.0,10 to 24,Three Squares,POINT (-71.102675 42.322782),,5,6
42.32235,-71.105101,united baptist church,322 Centre St,2130,813110,Religious Organizations,81,Other Services,1.0,1 to 9,Three Squares,POINT (-71.105101 42.32235),,5,6
42.321766,-71.110291,ultra beauty salon,401 Centre St,2130,812112,Beauty Salons,81,Other Services,4.0,1 to 9,Three Squares,POINT (-71.110291 42.321766),,5,6
42.323055,-71.102317,tree of life,295 Centre St,2130,621999,All Other Miscellaneous Ambulatory Health Care Services,62,Healthcare and Social Assistance,2.0,1 to 9,Three Squares,POINT (-71.102317 42.323055),,5,6
42.323252,-71.103616,the threading place,315 Centre St,2130,812112,Beauty Salons,81,Other Services,3.0,1 to 9,Three Squares,POINT (-71.103616 42.323252),,5,6
42.321667,-71.110389,the haven,2 Perkins St,2130,722511,Full-Service Restaurants,72,Accommodation and Food Services,8.0,1 to 9,Three Squares,POINT (-71.110389 42.321667),,5,6
42.32266,-71.108252,the frogmore,365 Centre St,2130,722511,Full-Service Restaurants,72,Accommodation and Food Services,8.0,1 to 9,Three Squares,POINT (-71.108252 42.32266),,5,6
42.322199,-71.107796,tara construction,362 Centre St,2130,236115,New Single-Family Housing Construction (except For-Sale Builders),23,Construction,5.0,1 to 9,Three Squares,POINT (-71.107796 42.322199),,5,6
42.322354,-71.109438,tails inc,385 Centre St,2130,0,,99,Undefined,0.0,Not Available,Three Squares,POINT (-71.109438 42.322354),,5,6
42.321955,-71.109278,tails,380 Centre St,2130,812910,Pet Care (except Veterinary) Services,81,Other Services,11.0,10 to 24,Three Squares,POINT (-71.109278 42.321955),,5,6
42.323252,-71.103616,t-mobile,315 Centre St,2130,517312,Wireless Telecommunications Carriers (except Satellite),51,Information,9.0,1 to 9,Three Squares,POINT (-71.103616 42.323252),,5,6
42.323,-71.1032,stop & shop supermarket,301 Centre St,2130,445110,Supermarkets and Other Grocery (except Convenience) Stores,44,Retail Trade,100.0,100+,Three Squares,POINT (-71.1032 42.323),,5,6
42.323,-71.1032,stop & shop pharmacy,301 Centre St,2130,446110,Pharmacies and Drug Stores,44,Retail Trade,5.0,1 to 9,Three Squares,POINT (-71.1032 42.323),,5,6
42.322974,-71.104634,spinal rehab group-dorchester,329 Centre St,2130,621310,Offices of Chiropractors,62,Healthcare and Social Assistance,3.0,1 to 9,Three Squares,POINT (-71.104634 42.322974),,5,6
42.322974,-71.104634,spinal rehab group llc,329 Centre St,2130,621399,Offices of All Other Miscellaneous Health Practitioners,62,Healthcare and Social Assistance,3.0,1 to 9,Three Squares,POINT (-71.104634 42.322974),,5,6
42.323055,-71.102317,spanish immersion jamaica plain,295 Centre St,2130,0,,99,Undefined,0.0,Not Available,Three Squares,POINT (-71.102317 42.323055),,5,6
42.322626,-71.104041,sophia beauty salon,314 Centre St,2130,812112,Beauty Salons,81,Other Services,3.0,1 to 9,Three Squares,POINT (-71.104041 42.322626),,5,6
42.324131,-71.100935,smart from the start,960 Parker St,2130,624190,Other Individual and Family Services,62,Healthcare and Social Assistance,9.0,1 to 9,Three Squares,POINT (-71.100935 42.324131),,5,6
42.32279,-71.10645,rizzo's pizza,347 Centre St,2130,722511,Full-Service Restaurants,72,Accommodation and Food Services,2.0,1 to 9,Three Squares,POINT (-71.10645 42.32279),,5,6
42.319699,-71.111126,river of life church,440 Centre St,2130,813110,Religious Organizations,81,Other Services,2.0,1 to 9,Three Squares,POINT (-71.111126 42.319699),,5,6
42.322851,-71.105699,reyna services llc,339 Centre St,2130,541213,Tax Preparation Services,54,"Professional, Scientific, and Technical Services",1.0,1 to 9,Three Squares,POINT (-71.105699 42.322851),,5,6
42.323252,-71.103616,rainbow,315 Centre St,2130,448120,Women's Clothing Stores,44,Retail Trade,11.0,10 to 24,Three Squares,POINT (-71.103616 42.323252),,5,6
42.323553,-71.102017,queen marlene inc,90 Bickford St,2130,813319,Other Social Advocacy Organizations,81,Other Services,9.0,1 to 9,Three Squares,POINT (-71.102017 42.323553),,5,6
42.322631,-71.101096,professional multi services,270 Centre St,2130,541990,"All Other Professional, Scientific, and Technical Services",54,"Professional, Scientific, and Technical Services",1.0,1 to 9,Three Squares,POINT (-71.101096 42.322631),,5,6
42.323189,-71.100701,prevost group,265 Centre St,2130,541618,Other Management Consulting Services,54,"Professional, Scientific, and Technical Services",7.0,1 to 9,Three Squares,POINT (-71.100701 42.323189),,5,6
42.323677,-71.100662,positive approaches counseling & multi-services center,964 Parker St,2130,624110,Child and Youth Services,62,Healthcare and Social Assistance,6.0,1 to 9,Three Squares,POINT (-71.100662 42.323677),,5,6
42.322199,-71.107796,pixel pyramid,362 Centre St,2130,0,,99,Undefined,0.0,Not Available,Three Squares,POINT (-71.107796 42.322199),,5,6
