Week Ending,Percent Change
1/5/2020,0.039246468
1/12/2020,0.169845054
1/19/2020,0.300393038
1/26/2020,0.215512754
2/2/2020,0.136027319
2/9/2020,-0.301415487
2/16/2020,-0.207203201
2/23/2020,0.0777897
3/1/2020,0.060961969
3/8/2020,-0.192708333
3/15/2020,-0.508246528
3/22/2020,-0.8073903
3/29/2020,-0.887913007
4/5/2020,-0.859936335
4/12/2020,-0.875615213
4/19/2020,-0.899603175
4/26/2020,-0.865444792
5/3/2020,-0.842931937
5/10/2020,-0.802721088
5/17/2020,-0.833698991
5/24/2020,-0.812180579
5/31/2020,-0.772426818
6/7/2020,-0.801903114
6/14/2020,-0.754526316
6/21/2020,-0.736396614
6/28/2020,-0.731026347
7/5/2020,-0.777854911
7/12/2020,-0.676389436
7/19/2020,-0.651318543
7/26/2020,-0.688321442
8/2/2020,-0.669001106
8/9/2020,-0.687012065
8/16/2020,-0.595330739
8/23/2020,-0.591919941
8/30/2020,-0.556629834
9/6/2020,-0.561778089
9/13/2020,-0.548055759
9/20/2020,-0.601825843
9/27/2020,-0.55324875
10/4/2020,-0.536681051
10/11/2020,-0.513731826
10/18/2020,-0.511413696
10/25/2020,-0.461301671
11/1/2020,-0.553089643
11/8/2020,-0.54950495
11/15/2020,-0.559649931
11/22/2020,-0.514547414
11/29/2020,-0.626928471
12/6/2020,-0.621535181
12/13/2020,-0.616873449
12/20/2020,-0.673272358
12/27/2020,-0.731871838
1/3/2021,-0.571428571
1/10/2021,-0.58283671
1/17/2021,-0.53396968
1/24/2021,-0.564289433
1/31/2021,-0.544109277
2/7/2021,-0.666944213
2/14/2021,-0.500222321
2/21/2021,-0.520922747
2/28/2021,-0.434004474
3/7/2021,-0.4375
3/14/2021,-0.537760417
3/21/2021,-0.512702079
3/28/2021,-0.598912589
4/4/2021,-0.451568895
4/11/2021,-0.565995526
4/18/2021,-0.608333333
4/25/2021,-0.49754135
5/2/2021,-0.46644455
5/9/2021,-0.477097506
5/16/2021,-0.487494515
5/23/2021,-0.495315162
5/30/2021,-0.399433428
6/6/2021,-0.413927336
6/13/2021,-0.435368421
6/20/2021,-0.386134623
6/27/2021,-0.384191899
7/4/2021,-0.429364804
7/11/2021,-0.391407174
7/18/2021,-0.335286731
7/25/2021,-0.366503943
8/1/2021,-0.39918909
8/8/2021,-0.390702626
8/15/2021,-0.344357977
8/22/2021,-0.385100074
8/29/2021,-0.302140884
9/5/2021,-0.253762688
9/12/2021,-0.265957447
9/19/2021,-0.34761236
9/26/2021,-0.252210688
10/3/2021,-0.286386818
10/10/2021,-0.216074313
10/17/2021,-0.146575891
10/24/2021,-0.109498681
10/31/2021,-0.31462141
11/7/2021,-0.081908191
11/14/2021,-0.076001842
11/21/2021,-0.042564655
11/28/2021,-0.0514259
12/5/2021,-0.042643923
12/12/2021,-0.11662531
12/19/2021,-0.069613821
12/26/2021,-0.379426644
