Week Ending,Percent Change
1/5/2020,0.125054721
1/12/2020,0.22767498
1/19/2020,0.026726058
1/26/2020,0.16481775
2/2/2020,0.206422018
2/9/2020,-0.025889968
2/16/2020,0.144992526
2/23/2020,0.045221843
3/1/2020,0.039083558
3/8/2020,0.01662234
3/15/2020,-0.161426844
3/22/2020,-0.569912609
3/29/2020,-0.616116751
4/5/2020,-0.633628319
4/12/2020,-0.675061425
4/19/2020,-0.533101045
4/26/2020,-0.544021025
5/3/2020,-0.567164179
5/10/2020,-0.546967895
5/17/2020,-0.455989411
5/24/2020,-0.484299517
5/31/2020,-0.406746032
6/7/2020,-0.47413303
6/14/2020,-0.422181373
6/21/2020,-0.474245115
6/28/2020,-0.4
7/5/2020,-0.38533961
7/12/2020,-0.41089402
7/19/2020,-0.442565598
7/26/2020,-0.464285714
8/2/2020,-0.410226612
8/9/2020,-0.465694219
8/16/2020,-0.428232503
8/23/2020,-0.472283814
8/30/2020,-0.467855213
9/6/2020,-0.433653303
9/13/2020,-0.485058698
9/20/2020,-0.511413043
9/27/2020,-0.503812636
10/4/2020,-0.442340792
10/11/2020,-0.413557214
10/18/2020,-0.456859094
10/25/2020,-0.392207792
11/1/2020,-0.425308642
11/8/2020,-0.448979592
11/15/2020,-0.450733753
11/22/2020,-0.348298335
11/29/2020,-0.437243642
12/6/2020,-0.472473868
12/13/2020,-0.523992322
12/20/2020,-0.543184885
12/27/2020,-0.381276596
1/3/2021,-0.423901941
1/10/2021,-0.454545455
1/17/2021,-0.46250928
1/24/2021,-0.47385103
1/31/2021,-0.50382263
2/7/2021,-0.605177994
2/14/2021,-0.46935725
2/21/2021,-0.406143345
2/28/2021,-0.473045822
3/7/2021,-0.396941489
3/14/2021,-0.434099154
3/21/2021,-0.396379526
3/28/2021,-0.444796954
4/4/2021,-0.474336283
4/11/2021,-0.469287469
4/18/2021,-0.413937282
4/25/2021,-0.432982917
5/2/2021,-0.379701493
5/9/2021,-0.417360285
5/16/2021,-0.336863005
5/23/2021,-0.393719807
5/30/2021,-0.287037037
6/6/2021,-0.351904491
6/13/2021,-0.324754902
6/20/2021,-0.382474837
6/27/2021,-0.345962733
7/4/2021,-0.323470074
7/11/2021,-0.439905269
7/18/2021,-0.335276968
7/25/2021,-0.315192744
8/1/2021,-0.323067984
8/8/2021,-0.40734738
8/15/2021,-0.303084223
8/22/2021,-0.403547672
8/29/2021,-0.345218801
9/5/2021,-0.289102202
9/12/2021,-0.354855923
9/19/2021,-0.238043478
9/26/2021,-0.27832244
10/3/2021,-0.204245554
10/10/2021,-0.206467662
10/17/2021,-0.218497827
10/24/2021,-0.145454545
10/31/2021,-0.188888889
11/7/2021,-0.077922078
11/14/2021,0.025157233
11/21/2021,0.026068067
11/28/2021,-0.128794094
12/5/2021,0.029965157
12/12/2021,-0.055662188
12/19/2021,0.006747638
12/26/2021,-0.068085106
