Week Ending,Percent Change
1/5/2020,0.218091789
1/12/2020,0.265490534
1/19/2020,0.192003332
1/26/2020,0.167207792
2/2/2020,0.313207547
2/9/2020,0.0710207
2/16/2020,0.109951547
2/23/2020,0.260130719
3/1/2020,0.125928678
3/8/2020,0.088430361
3/15/2020,-0.011470985
3/22/2020,-0.428113879
3/29/2020,-0.609993293
4/5/2020,-0.605498282
4/12/2020,-0.646960027
4/19/2020,-0.649437412
4/26/2020,-0.64842176
5/3/2020,-0.618151261
5/10/2020,-0.590305445
5/17/2020,-0.596779494
5/24/2020,-0.550203316
5/31/2020,-0.516181759
6/7/2020,-0.546771654
6/14/2020,-0.509156311
6/21/2020,-0.515216723
6/28/2020,-0.53922752
7/5/2020,-0.505157862
7/12/2020,-0.499708455
7/19/2020,-0.497452802
7/26/2020,-0.468444444
8/2/2020,-0.473105498
8/9/2020,-0.423604758
8/16/2020,-0.4140625
8/23/2020,-0.411691153
8/30/2020,-0.461910176
9/6/2020,-0.383281206
9/13/2020,-0.449903395
9/20/2020,-0.391118702
9/27/2020,-0.403669725
10/4/2020,-0.430311615
10/11/2020,-0.393846154
10/18/2020,-0.409897292
10/25/2020,-0.37196323
11/1/2020,-0.445933597
11/8/2020,-0.40594721
11/15/2020,-0.411214953
11/22/2020,-0.426241135
11/29/2020,-0.430281962
12/6/2020,-0.436452514
12/13/2020,-0.465897858
12/20/2020,-0.538988581
12/27/2020,-0.435085008
1/3/2021,-0.365013672
1/10/2021,-0.367039587
1/17/2021,-0.405664307
1/24/2021,-0.445616883
1/31/2021,-0.431865828
2/7/2021,-0.499286224
2/14/2021,-0.380916884
2/21/2021,-0.294117647
2/28/2021,-0.363670134
3/7/2021,-0.328666175
3/14/2021,-0.368421053
3/21/2021,-0.390035587
3/28/2021,-0.425888665
4/4/2021,-0.448109966
4/11/2021,-0.466241182
4/18/2021,-0.432137834
4/25/2021,-0.47179315
5/2/2021,-0.444033613
5/9/2021,-0.45185923
5/16/2021,-0.407492606
5/23/2021,-0.428839537
5/30/2021,-0.410918601
6/6/2021,-0.345511811
6/13/2021,-0.313603663
6/20/2021,-0.331693821
6/27/2021,-0.394085697
7/4/2021,-0.346983432
7/11/2021,-0.371137026
7/18/2021,-0.324243332
7/25/2021,-0.344592593
8/1/2021,-0.374442793
8/8/2021,-0.35010674
8/15/2021,-0.331875
8/22/2021,-0.326664583
8/29/2021,-0.355031268
9/5/2021,-0.323286892
9/12/2021,-0.32404085
9/19/2021,-0.33646456
9/26/2021,-0.316069843
10/3/2021,-0.319546742
10/10/2021,-0.269230769
10/17/2021,-0.263616558
10/24/2021,-0.164806303
10/31/2021,-0.273530308
11/7/2021,-0.195456064
11/14/2021,-0.134076204
11/21/2021,-0.10248227
11/28/2021,-0.149864813
12/5/2021,-0.134078212
12/12/2021,-0.210873147
12/19/2021,-0.23360522
12/26/2021,-0.135625966
