Week Ending,Percent Change
1/5/2020,0.137662338
1/12/2020,0.345767575
1/19/2020,0.198571429
1/26/2020,0.228699552
2/2/2020,0.325958702
2/9/2020,0.084745763
2/16/2020,0.304843305
2/23/2020,0.349056604
3/1/2020,0.069306931
3/8/2020,0.110831234
3/15/2020,-0.18452381
3/22/2020,-0.537259615
3/29/2020,-0.680921053
4/5/2020,-0.706073753
4/12/2020,-0.705749718
4/19/2020,-0.617359413
4/26/2020,-0.655380895
5/3/2020,-0.630687831
5/10/2020,-0.556218905
5/17/2020,-0.573976915
5/24/2020,-0.61095373
5/31/2020,-0.608738828
6/7/2020,-0.581010453
6/14/2020,-0.485324948
6/21/2020,-0.567961165
6/28/2020,-0.419354839
7/5/2020,-0.44955157
7/12/2020,-0.460945034
7/19/2020,-0.441717791
7/26/2020,-0.495592556
8/2/2020,-0.496510469
8/9/2020,-0.462894249
8/16/2020,-0.502365184
8/23/2020,-0.509471585
8/30/2020,-0.468292683
9/6/2020,-0.428424305
9/13/2020,-0.548802947
9/20/2020,-0.53638814
9/27/2020,-0.533514493
10/4/2020,-0.524770642
10/11/2020,-0.518404908
10/18/2020,-0.54705274
10/25/2020,-0.496296296
11/1/2020,-0.586679726
11/8/2020,-0.538702929
11/15/2020,-0.601162791
11/22/2020,-0.590145577
11/29/2020,-0.569920844
12/6/2020,-0.628445424
12/13/2020,-0.673469388
12/20/2020,-0.664847162
12/27/2020,-0.546407186
1/3/2021,-0.541818182
1/10/2021,-0.516499283
1/17/2021,-0.518571429
1/24/2021,-0.562032885
1/31/2021,-0.556047198
2/7/2021,-0.579903148
2/14/2021,-0.41025641
2/21/2021,-0.363207547
2/28/2021,-0.417079208
3/7/2021,-0.397984887
3/14/2021,-0.396428571
3/21/2021,-0.46875
3/28/2021,-0.463815789
4/4/2021,-0.501084599
4/11/2021,-0.531003382
4/18/2021,-0.551344743
4/25/2021,-0.567110036
5/2/2021,-0.583068783
5/9/2021,-0.585074627
5/16/2021,-0.497376705
5/23/2021,-0.589235127
5/30/2021,-0.519364449
6/6/2021,-0.550522648
6/13/2021,-0.492662474
6/20/2021,-0.476699029
6/27/2021,-0.466666667
7/4/2021,-0.519058296
7/11/2021,-0.567984571
7/18/2021,-0.544989775
7/25/2021,-0.526934378
8/1/2021,-0.530408774
8/8/2021,-0.572356215
8/15/2021,-0.538315989
8/22/2021,-0.505483549
8/29/2021,-0.513170732
9/5/2021,-0.47476828
9/12/2021,-0.479742173
9/19/2021,-0.492362983
9/26/2021,-0.551630435
10/3/2021,-0.516513761
10/10/2021,-0.457055215
10/17/2021,-0.483971044
10/24/2021,-0.427513228
10/31/2021,-0.511263467
11/7/2021,-0.421548117
11/14/2021,-0.4
11/21/2021,-0.419932811
11/28/2021,-0.415567282
12/5/2021,-0.41014333
12/12/2021,-0.435016112
12/19/2021,-0.457423581
12/26/2021,-0.342814371
